Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
1996,Missing,Everything But the Girl,55,trip-hop,dance / electronic
1996,Macarena (Bayside Boys Mix),Los del Rio,54,pop,pop
1996,Run-Around,Blues Traveler,49,blues rock,blues
1996,Nobody Knows,The Tony Rich Project,47,rnb,r&b / soul
1996,Follow You Down/Til I Hear It From You,Gin Blossoms,46,alternative rock,rock
1996,As I Lay Me Down,Sophie B. Hawkins,44,pop,pop
1996,C'mon N' Ride It (The Train),Quad City DJ's,42,pop,pop
1996,"Insensitive (From ""Bed Of Roses"")",Jann Arden,40,singer-songwriter,folk / acoustic
1996,Counting Blue Cars,Dishwalla,39,alternative rock,rock
1996,December,Collective Soul,39,alternative rock,rock
1996,Give Me One Reason,Tracy Chapman,39,folk,folk / acoustic
1996,Be My Lover,La Bouche,38,dance,dance / electronic
1996,"Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,38,rap,hip hop / rap
1996,Wonder,Natalie Merchant,38,folk,folk / acoustic
1996,Breakfast At Tiffany's,Deep Blue Something,36,rock,rock
1996,Kiss From A Rose,Seal,36,pop,pop
1996,Name,Goo Goo Dolls,36,rock,rock
1996,Roll To Me,Del Amitri,36,rock,rock
1996,Hook,Blues Traveler,34,blues rock,blues
1996,The World I Know,Collective Soul,34,alternative rock,rock
1996,Waterfalls,TLC,34,rnb,r&b / soul
1996,Anything,3T,33,pop,pop
1996,"Because You Loved Me (From ""Up Close & Personal"")",Celine Dion,33,pop,pop
1996,"Sittin' Up In My Room (From ""Waiting To Exhale"")",Brandy,33,rnb,r&b / soul
1996,Tell Me,Groove Theory,33,soul,r&b / soul
1996,Always Be My Baby,Mariah Carey,32,pop,pop
1996,Ironic,Alanis Morissette,32,rock,rock
1996,Only Wanna Be With You,Hootie & The Blowfish,32,rock,rock
1996,Sweet Dreams,La Bouche,32,eurodance,dance / electronic
1996,Carnival,Natalie Merchant,31,folk,folk / acoustic
1996,Back For Good,Take That,30,pop,pop
1996,Who Will Save Your Soul,Jewel,30,pop,pop
1996,You're Makin' Me High/Let It Flow,Toni Braxton,30,soul,r&b / soul
1996,Just A Girl,No Doubt,29,rock,rock
1996,This Is Your Night,Amber,29,post-metal,dance / electronic
1996,Before You Walk Out Of My Life/Like This And Like That,Monica,28,rnb,r&b / soul
1996,I Love You Always Forever,Donna Lewis,28,pop,pop
1996,Only You,112 Featuring The Notorious B.I.G.,28,rnb,r&b / soul
1996,Twisted,Keith Sweat,28,rnb,r&b / soul
1996,One Sweet Day,Mariah Carey & Boyz II Men,27,pop,pop
1996,Loungin,LL Cool J,26,hip-hop,hip hop / rap
1996,My Boo,Ghost Town DJ's,26,rnb,r&b / soul
1996,Set U Free,Planet Soul,26,house,dance / electronic
1996,Time,Hootie & The Blowfish,26,rock,rock
1996,Where Do You Go,No Mercy,26,thrash metal,pop
1996,Fantasy,Mariah Carey,25,pop,pop
1996,Change The World,Eric Clapton,24,blues,blues
1996,How Do U Want It/California Love,2Pac Featuring K-Ci And JoJo,24,rap,hip hop / rap
1996,Runaway,Janet Jackson,24,pop,pop
1996,Do You Miss Me,Jocelyn Enriquez,23,freestyle,dance / electronic
1996,You Learn/You Oughta Know,Alanis Morissette,23,rock,rock
1996,Your Loving Arms,Billie Ray Martin,23,house,dance / electronic
1996,"""The Earth, The Sun, The Rain""",Color Me Badd,22,pop,pop
1996,1979,The Smashing Pumpkins,22,alternative rock,rock
1996,Kissin' You,Total,22,russian,rock
1996,One Of Us,Joan Osborne,22,rock,rock
1996,"""1, 2, 3, 4 (Sumpin' New)""",Coolio,21,rap,hip hop / rap
1996,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",Whitney Houston,21,pop,pop
1996,Hey Lover,LL Cool J,21,hip-hop,hip hop / rap
1996,Macarena,Los del Rio,21,pop,pop
1996,"""I Like It, I Love It""",Tim McGraw,20,country,country
1996,"""Keep On, Keepin' On (From ""Sunset Park"")""",MC Lyte Featuring Xscape,20,hip-hop,hip hop / rap
1996,"""Tonight, Tonight""",The Smashing Pumpkins,20,alternative rock,rock
1996,1st Of Tha Month,Bone Thugs-N-Harmony,20,hip-hop,hip hop / rap
1996,5 O'Clock,Nonchalant,20,rap,hip hop / rap
1996,"A Thin Line Between Love & Hate (From ""A Thin Line..."")",H-Town,20,rnb,r&b / soul
1996,Ain't No Nigga/Dead Presidents,Jay-Z Featuring Foxxy Brown,20,hip-hop,hip hop / rap
1996,"All The Things (Your Man Won't Do) (From ""Don't Be A Menace..."")",Joe,20,rnb,r&b / soul
1996,Beautiful Life,Ace of Base,20,pop,pop
1996,"Beware Of My Crew (From ""A Thin Line Between Love And Hate"")",L.B.C. Crew Feat. Tray D & South Sentrell,20,g-funk,hip hop / rap
1996,Blessed,Elton John,20,pop,pop
1996,Blue,LeAnn Rimes,20,country,country
1996,Boom Boom Boom,The Outhere Brothers,20,eurodance,dance / electronic
1996,Brokenhearted,Brandy,20,rnb,r&b / soul
1996,Bullet With Butterfly Wings,The Smashing Pumpkins,20,alternative rock,rock
1996,Can't Get You Off My Mind,Lenny Kravitz,20,rock,rock
1996,Cell Therapy,Goodie Mob,20,hip-hop,hip hop / rap
