Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
1998,How Do I Live,LeAnn Rimes,69,country,country
1998,Foolish Games/You Were Meant For Me,Jewel,65,pop,pop
1998,I Don't Want To Wait,Paula Cole,56,singer-songwriter,folk / acoustic
1998,How's It Going To Be,Third Eye Blind,52,alternative rock,rock
1998,Truly Madly Deeply,Savage Garden,52,pop,pop
1998,Too Close,Next,47,rnb,r&b / soul
1998,You Make Me Wanna...,Usher,47,rnb,r&b / soul
1998,Together Again,Janet,46,swedish,pop
1998,Quit Playing Games (With My Heart),Backstreet Boys,43,pop,pop
1998,Semi-Charmed Life,Third Eye Blind,43,alternative rock,rock
1998,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,42,pop,pop
1998,This Kiss,Faith Hill,42,country,country
1998,You're Still The One,Shania Twain,42,country,country
1998,All For You,Sister Hazel,41,rock,rock
1998,All My Life,K-Ci & JoJo,36,rnb,r&b / soul
1998,"""No, No, No""",Destiny's Child,35,rnb,r&b / soul
1998,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,33,hip-hop,hip hop / rap
1998,To The Moon And Back,Savage Garden,33,pop,pop
1998,Gettin' Jiggy Wit It,Will Smith,32,hip-hop,hip hop / rap
1998,Sunny Came Home,Shawn Colvin,32,folk,folk / acoustic
1998,Kiss The Rain,Billie Myers,31,pop,pop
1998,They Don't Know,Jon B,31,rnb,r&b / soul
1998,Tubthumping,Chumbawamba,31,pop,pop
1998,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,30,hip-hop,hip hop / rap
1998,Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz,28,hip-hop,hip hop / rap
1998,I Don't Ever Want To See You Again,Uncle Sam,28,dubstep,reggae
1998,Invisible Man,98 Degrees,28,pop,pop
1998,Sex And Candy,Marcy Playground,28,alternative rock,rock
1998,Adia,Sarah McLachlan,27,singer-songwriter,folk / acoustic
1998,No Tengo Dinero,Los Umbrellos,27,latin,latin
1998,The Boy Is Mine,Brandy & Monica,27,rnb,r&b / soul
1998,My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,26,usa,r&b / soul
1998,When The Lights Go Out,Five,26,pop,pop
1998,All Cried Out,Allure Featuring 112,25,trance,dance / electronic
1998,Crush,Jennifer Paige,25,pop,pop
1998,2 Become 1,Spice Girls,24,pop,pop
1998,I Want You Back,*NSYNC,24,pop,pop
1998,I'm Alright,Jo Dee Messina,24,country,country
1998,Looking Through Your Eyes,LeAnn Rimes,24,country,country
1998,My Way,Usher,24,rnb,r&b / soul
1998,Show Me Love,Robyn,24,pop,pop
1998,What About Us,Total,24,russian,rock
1998,What You Want,Mase Featuring Total,24,rap,hip hop / rap
1998,Butta Love,Next,23,rnb,r&b / soul
1998,Make It Hot,"Nicole Featuring Missy ""Misdemeanor"" Elliott & Mocha",23,pop,pop
1998,Nice & Slow,Usher,23,rnb,r&b / soul
1998,Still Not A Player,Big Punisher Featuring Joe,23,hip-hop,hip hop / rap
1998,Body Bumpin' Yippie-Yi-Yo,Public Announcement,22,rnb,r&b / soul
1998,Building A Mystery,Sarah McLachlan,22,singer-songwriter,folk / acoustic
1998,Everybody [Backstreet's Back],Backstreet Boys,22,pop,pop
1998,I Do,Lisa Loeb,22,singer-songwriter,folk / acoustic
1998,Touch It,Monifah,22,rnb,r&b / soul
1998,Ghetto Supastar (That Is What You Are),Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya,21,hip-hop,hip hop / rap
1998,Let's Ride,Montell Jordan Feat. Master P & Silkk the Shocker,21,rnb,r&b / soul
1998,The First Night,Monica,21,rnb,r&b / soul
1998,32 Flavors,Alana Davis,20,singer-songwriter,folk / acoustic
1998,4 Seasons Of Loneliness,Boyz II Men,20,rnb,r&b / soul
1998,A Song For Mama,Boyz II Men,20,rnb,r&b / soul
1998,Around The World,Daft Punk,20,electronic,dance / electronic
1998,At The Beginning,Richard Marx & Donna Lewis,20,soundtrack,soundtrack
1998,Ava Adore,The Smashing Pumpkins,20,alternative rock,rock
1998,Backyard Boogie,Mack 10,20,gangsta rap,hip hop / rap
1998,Bitter Sweet Symphony,The Verve,20,britpop,rock
1998,Breaking All The Rules,She Moves,20,pop,pop
1998,Brian Wilson,Barenaked Ladies,20,rock,rock
1998,Burn,Militia,20,industrial,rock
1998,Cheers 2 U,Playa,20,rnb,r&b / soul
1998,Come With Me,Puff Daddy Featuring Jimmy Page,20,hip-hop,hip hop / rap
1998,Criminal,Fiona Apple,20,alternative,rock
1998,Cruel Summer,Ace of Base,20,pop,pop
1998,Everything,Mary J. Blige,20,rnb,r&b / soul
1998,Feel So Good,Mase,20,rap,hip hop / rap
1998,Friend Of Mine,Kelly Price,20,rnb,r&b / soul
1998,Frozen,Madonna,20,pop,pop
1998,Get At Me Dog,DMX Featuring Sheek Of The Lox,20,rap,hip hop / rap
1998,Gone Till November,Wyclef Jean,20,hip-hop,hip hop / rap
1998,Heaven's What I Feel,Gloria Estefan,20,latin,latin
1998,Honey,Mariah Carey,20,pop,pop
1998,I Care 'Bout You,Milestone,20,post-hardcore,rock
1998,I Get Lonely,Janet Featuring Blackstreet,20,swedish,pop
1998,I Got The Hook Up!,Master P Featuring Sons Of Funk,20,rap,hip hop / rap
1998,I Miss My Homies,Master P Featuring Pimp C And The Shocker,20,rap,hip hop / rap
1998,I Still Love You,Next,20,rnb,r&b / soul
1998,I Will Come To You,Hanson,20,pop,pop
1998,I'm Not A Player,Big Punisher,20,hip-hop,hip hop / rap
1998,If I Could Teach The World,Bone Thugs-N-Harmony,20,hip-hop,hip hop / rap
1998,Imagination,Tamia,20,rnb,r&b / soul
1998,In A Dream,Rockell,20,freestyle,dance / electronic
1998,Landslide (Live 1997),Fleetwood Mac,20,classic rock,rock
1998,Last Night's Letter,K-Ci & JoJo,20,rnb,r&b / soul
1998,Legend Of A Cowgirl,Imani Coppola,20,alternative,rock
1998,Love Gets Me Every Time,Shania Twain,20,country,country
1998,Money Ain't A Thang,JD Featuring Jay-Z,20,metal,rock
1998,Movin' On,Mya Featuring Silkk the Shocker,20,rnb,r&b / soul
1998,My All,Mariah Carey,20,pop,pop
1998,My Body,LSG,20,rnb,r&b / soul
1998,My Heart Will Go On,Celine Dion,20,pop,pop
1998,One More Night,Amber,20,post-metal,dance / electronic
1998,Ooh La La,Rod Stewart,20,classic rock,rock
1998,Raise The Roof,Luke Featuring No Good But So Good,20,french,rock
1998,Ray Of Light,Madonna,20,pop,pop
1998,Recover Your Soul,Elton John,20,pop,pop
1998,Romeo And Juliet,Sylk-E. Fyne Featuring Chill,20,westcoast,hip hop / rap
1998,Shorty (You Keep Playin' With My Mind),Imajin Featuring Keith Murray,20,rnb,r&b / soul
1998,So Help Me Girl,Gary Barlow,20,pop,pop
1998,So Into You,Tamia,20,rnb,r&b / soul
1998,Sock It 2 Me,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",20,hip-hop,hip hop / rap
1998,Spice Up Your Life,Spice Girls,20,pop,pop
1998,Swing My Way,K.P. & Envyi,20,rnb,r&b / soul
1998,The Arms Of The One Who Loves You,Xscape,20,rnb,r&b / soul
1998,The City Is Mine,Jay-Z Featuring Blackstreet,20,hip-hop,hip hop / rap
1998,The Mummers' Dance,Loreena McKennitt,20,celtic,folk / acoustic
1998,The One I Gave My Heart To,Aaliyah,20,rnb,r&b / soul
1998,They Like It Slow,H-Town,20,rnb,r&b / soul
1998,Too Much,Spice Girls,20,pop,pop
1998,Turn It Up [Remix]/Fire It Up,Busta Rhymes,20,hip-hop,hip hop / rap
1998,Valentine,Martina McBride With Jim Brickman,20,country,country
1998,Victory,Puff Daddy & The Family Featuring The Notorious B.I.G. & Busta Rh,20,hip-hop,hip hop / rap
1998,We're Not Making Love No More,Dru Hill,20,rnb,r&b / soul
1998,Who Am I,Beenie Man,20,dancehall,reggae
1998,Wishlist,Pearl Jam,20,grunge,rock
1998,You Light Up My Life,LeAnn Rimes,20,country,country
1998,You Only Have To Say You Love Me,Hannah Jones,20,house,dance / electronic
1998,You Should Be Mine (Don't Waste Your Time),Brian McKnight Featuring Mase,20,rnb,r&b / soul
1998,You Won't Forget Me,La Bouche,20,eurodance,dance / electronic
1998,You're Not Alone,Olive,20,trip-hop,dance / electronic
1998,Cleopatra's Theme,Cleopatra,19,pop,pop
1998,Dangerous,Busta Rhymes,19,hip-hop,hip hop / rap
1998,Ding-A-Ling,Hi-Town DJs,19,rap,hip hop / rap
1998,Do Your Thing,7 Mile,19,soul,r&b / soul
1998,Don't Go,Le Click Featuring Kayo,19,eurodance,dance / electronic
1998,Going Back To Cali,The Notorious B.I.G.,19,hip-hop,hip hop / rap
1998,I Just Want To Dance With You,George Strait,19,country,country
1998,Light In Your Eyes,Blessid Union Of Souls,19,pop,pop
1998,Lookin' At Me,Mase Featuring Puff Daddy,19,rap,hip hop / rap
1998,Never Ever,All Saints,19,pop,pop
1998,Rhythm Of Love,DJ Company,19,eurodance,dance / electronic
1998,Say You'll Stay,KAI,19,exo,r&b / soul
1998,So Good,Davina,19,rnb,r&b / soul
1998,Stop,Spice Girls,19,pop,pop
1998,The Memory Remains,Metallica,19,metallica,rock
1998,The Party Continues,JD Featuring Da Brat,19,metal,rock
1998,Whatcha Gone Do?,Link,19,idm,dance / electronic
1998,26 Cents,The Wilkinsons,18,country,country
1998,A Rose Is Still A Rose,Aretha Franklin,18,soul,r&b / soul
1998,Are You Jimmy Ray?,Jimmy Ray,18,pop,pop
1998,Do For Love,2Pac Featuring Eric Williams,18,hip-hop,hip hop / rap
1998,I Don't Want To Miss A Thing,Aerosmith,18,hard rock,rock
1998,I Know Where It's At,All Saints,18,pop,pop
1998,I'm From The Country,Tracy Byrd,18,country,country
1998,Intergalactic,Beastie Boys,18,hip-hop,hip hop / rap
1998,Nobody Does It Better,Nate Dogg Featuring Warren G,18,g-funk,hip hop / rap
1998,Push It,Garbage,18,rock,rock
1998,Then What?,Clay Walker,18,country,country
1998,Wide Open Spaces,Dixie Chicks,18,country,country
1998,"""Too Gone, Too Long""",En Vogue,17,rnb,r&b / soul
1998,Daydreamin',Tatyana Ali,17,rnb,r&b / soul
1998,Horse & Carriage,Cam'Ron Featuring Mase,17,hip-hop,hip hop / rap
1998,Lately,Divine,17,disco,dance / electronic
1998,Lollipop (Candyman),Aqua,17,pop,pop
1998,My Heart Will Go On,Deja Vu,17,heavy metal,rock
1998,Strawberries,Smooth,17,drum and bass,dance / electronic
1998,"""The Cup Of Life (The Official Song Of The World Cup, France '98)""",Ricky Martin,16,pop,pop
1998,Ain't That Just The Way,Lutricia McNeal,16,pop,pop
1998,Barbie Girl,Aqua,16,pop,pop
1998,Don't Be Stupid (You Know I Love You),Shania Twain,16,country,country
1998,Father,LL Cool J,16,hip-hop,hip hop / rap
1998,Given To Fly,Pearl Jam,16,grunge,rock
1998,Gotta Be,Jagged Edge,16,rnb,r&b / soul
1998,I Can Do That,Montell Jordan,16,rnb,r&b / soul
1998,I'm Afraid Of Americans,David Bowie,16,glam rock,rock
1998,If I Never Stop Loving You,David Kersh,16,country,country
1998,Ninety Nine [Flash The Message],John Forte,16,hip-hop,hip hop / rap
1998,The Rest Of Mine,Trace Adkins,16,country,country
1998,There's Your Trouble,Dixie Chicks,16,country,country
1998,Thinkin' Bout It,Gerald Levert,16,rnb,r&b / soul
1998,Time After Time,Inoj,16,rnb,r&b / soul
1998,Woof Woof,69 Boyz,16,miami bass,hip hop / rap
1998,All My Love,Queen Pen Featuring Eric Williams,15,rap,hip hop / rap
1998,Black Ice (Sky High),Goodie Mob Featuring OutKast,15,hip-hop,hip hop / rap
1998,Don't Stop The Music,Playa,15,rnb,r&b / soul
1998,I'll Be,Edwin McCain,15,singer-songwriter,folk / acoustic
1998,It's Your Love,She Moves,15,pop,pop
1998,L-L-Lies,Diana King,15,reggae,reggae
1998,Life In Mono,Mono,15,post-rock,rock
1998,Nobody Else,Tyrese,15,rnb,r&b / soul
1998,Second Round K.O.,Canibus,15,hip-hop,hip hop / rap
1998,The Rockafeller Skank,Fatboy Slim,15,electronic,dance / electronic
