Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
1991,Close To You,Maxi Priest,30,reggae,reggae
1991,Heat Of The Moment,After 7,30,rnb,r&b / soul
1991,High Enough,Damn Yankees,29,hard rock,rock
1991,Round And Round,Tevin Campbell,29,rnb,r&b / soul
1991,I'll Never Let You Go,Steelheart,27,hard rock,rock
1991,Do You Want Me,Salt-N-Pepa,26,hip-hop,hip hop / rap
1991,From A Distance,Bette Midler,26,pop,pop
1991,I Don't Have The Heart,James Ingram,26,soul,r&b / soul
1991,Love Takes Time,Mariah Carey,26,pop,pop
1991,"""Right Here, Right Now""",Jesus Jones,25,alternative,rock
1991,Can't Stop,After 7,25,rnb,r&b / soul
1991,Feels Good,Tony! Toni! Tone!,25,soul,r&b / soul
1991,Here I Am (Come And Take Me),UB40,25,reggae,reggae
1991,I'll Be There,The Escape Club,25,pop,pop
1991,The First Time,Surface,25,japanese,pop
1991,The Way You Do The Things You Do,UB40,25,reggae,reggae
1991,Unchained Melody,The Righteous Brothers,25,soul,r&b / soul
1991,Wind Of Change,Scorpions,25,classic rock,rock
1991,If You Needed Somebody,Bad Company,24,classic rock,rock
1991,More Than Words,Extreme,24,hard rock,rock
1991,Motownphilly,Boyz II Men,24,rnb,r&b / soul
1991,Where Does My Heart Beat Now,Celine Dion,24,pop,pop
1991,Wicked Game,Chris Isaak,24,ballad,rock
1991,All The Man That I Need,Whitney Houston,23,pop,pop
1991,Around The Way Girl,LL Cool J,23,hip-hop,hip hop / rap
1991,Because I Love You (The Postman Song),Stevie B,23,freestyle,pop
1991,Don't Treat Me Bad,Firehouse,23,hard rock,rock
1991,Get Here,Oleta Adams,23,soul,r&b / soul
1991,Groove Is In The Heart,Deee-Lite,23,dance,dance / electronic
1991,I Like The Way (The Kissing Game),Hi-Five,23,rnb,r&b / soul
1991,"I Wanna Sex You Up (From ""New Jack City"")",Color Me Badd,23,pop,pop
1991,Iesha,Another Bad Creation,23,rap,hip hop / rap
1991,Knockin' Boots,Candyman,23,rap,hip hop / rap
1991,More Than Words Can Say,Alias,23,hip-hop,hip hop / rap
1991,Show Me The Way,Styx,23,classic rock,rock
1991,This House,Tracie Spencer,23,rnb,r&b / soul
1991,Unbelievable,EMF,23,pop,pop
1991,Walking In Memphis,Marc Cohn,23,singer-songwriter,folk / acoustic
1991,With You,Tony Terry,23,soul,r&b / soul
1991,(Everything I Do) I Do It For You,Bryan Adams,22,rock,rock
1991,After The Rain,Nelson,22,hard rock,rock
1991,Giving You The Benefit,Pebbles,22,rnb,r&b / soul
1991,Hold You Tight,Tara Kemp,22,pop,pop
1991,Just Another Dream,Cathy Dennis,22,pop,pop
1991,Love Of A Lifetime,Firehouse,22,hard rock,rock
1991,Love Will Never Do (Without You),Janet Jackson,22,pop,pop
1991,Miles Away,Winger,22,hard rock,rock
1991,Now That We Found Love,Heavy D & The Boyz,22,hip-hop,hip hop / rap
1991,Signs,Tesla,22,hard rock,rock
1991,Something In My Heart,Michel'le,22,rnb,r&b / soul
1991,Stranded,Heart,22,classic rock,rock
1991,Wiggle It,2 In A Room,22,house,dance / electronic
1991,Baby Baby,Amy Grant,21,pop,pop
1991,Do Anything,Natural Selection,21,funk,r&b / soul
1991,I Can't Wait Another Minute,Hi-Five,21,rnb,r&b / soul
1991,Ice Ice Baby,Vanilla Ice,21,rap,hip hop / rap
1991,Joey,Concrete Blonde,21,alternative rock,rock
1991,Losing My Religion,R.E.M.,21,rock,rock
1991,Place In This World,Michael W. Smith,21,christian,pop
1991,Running Back To You,Vanessa Williams,21,pop,pop
1991,Something To Believe In,Poison,21,hard rock,rock
1991,Temptation,Corina,21,freestyle,dance / electronic
1991,Tom's Diner,DNA Featuring Suzanne Vega,21,no wave,rock
1991,Cry For Help,Rick Astley,20,pop,pop
1991,Disappear,INXS,20,rock,rock
1991,Don't Want To Be A Fool,Luther Vandross,20,soul,r&b / soul
1991,Everybody Plays The Fool,Aaron Neville,20,soul,r&b / soul
1991,Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,20,hip-hop,hip hop / rap
