Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
1981,Another One Bites The Dust,Queen,31,classic rock,rock
1981,Jessie's Girl,Rick Springfield,31,rock,rock
1981,Celebration,Kool & The Gang,30,funk,r&b / soul
1981,Upside Down,Diana Ross,29,disco,dance / electronic
1981,I Love A Rainy Night,Eddie Rabbitt,28,country,country
1981,Keep On Loving You,REO Speedwagon,28,classic rock,rock
1981,A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio,27,funk,r&b / soul
1981,I Love You,Climax Blues Band,27,blues rock,rock
1981,Queen Of Hearts,Juice Newton,27,country,country
1981,9 To 5,Dolly Parton,26,country,country
1981,Bette Davis Eyes,Kim Carnes,26,pop,pop
1981,Endless Love,Diana Ross & Lionel Richie,26,soul,r&b / soul
1981,He's So Shy,The Pointer Sisters,26,disco,dance / electronic
1981,The Tide Is High,Blondie,26,new wave,rock
1981,The Winner Takes It All,ABBA,26,pop,pop
1981,Being With You,Smokey Robinson,25,soul,r&b / soul
1981,Lady,Kenny Rogers,25,country,country
1981,Never Knew Love Like This Before,Stephanie Mills,25,soul,r&b / soul
1981,"Theme From ""Greatest American Hero"" (Believe It or Not)",Joey Scarbury,25,pop,pop
1981,Whip It,Devo,25,new wave,rock
1981,For Your Eyes Only,Sheena Easton,24,pop,pop
1981,Hit Me With Your Best Shot,Pat Benatar,24,rock,rock
1981,Let Me Be Your Angel,Stacy Lattisaw,24,disco,dance / electronic
1981,Sukiyaki,A Taste Of Honey,24,disco,dance / electronic
1981,Woman In Love,Barbra Streisand,24,pop,pop
1981,Games People Play,The Alan Parsons Project,23,progressive rock,rock
1981,How 'bout Us,Champaign,23,soul,r&b / soul
1981,I'm Coming Out,Diana Ross,23,soul,r&b / soul
1981,Kiss On My List,Daryl Hall  John Oates,23,pop,pop
1981,Master Blaster (Jammin'),Stevie Wonder,23,soul,r&b / soul
1981,More Than I Can Say,Leo Sayer,23,pop,pop
1981,Out Here On My Own,Irene Cara,23,pop,pop
