Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
1997,Macarena (Bayside Boys Mix),Los del Rio,60,pop,pop
1997,Foolish Games/You Were Meant For Me,Jewel,58,pop,pop
1997,Barely Breathing,Duncan Sheik,55,singer-songwriter,folk / acoustic
1997,Counting Blue Cars,Dishwalla,48,alternative rock,rock
1997,Change The World,Eric Clapton,43,blues,blues
1997,The Freshmen,The Verve Pipe,42,alternative rock,rock
1997,Un-Break My Heart,Toni Braxton,42,soul,r&b / soul
1997,I Love You Always Forever,Donna Lewis,41,pop,pop
1997,You're Makin' Me High/Let It Flow,Toni Braxton,41,soul,r&b / soul
1997,Return Of The Mack,Mark Morrison,40,rnb,r&b / soul
1997,This Is Your Night,Amber,40,post-metal,dance / electronic
1997,Where Do You Go,No Mercy,39,thrash metal,pop
1997,Twisted,Keith Sweat,38,rnb,r&b / soul
1997,Don't Let Go (Love),En Vogue,35,rnb,r&b / soul
1997,Nobody,Keith Sweat Featuring Athena Cage,35,rnb,r&b / soul
1997,Hard To Say I'm Sorry,Az Yet Featuring Peter Cetera,34,rnb,r&b / soul
1997,"I Believe I Can Fly (From ""Space Jam"")",R. Kelly,34,rnb,r&b / soul
1997,Da' Dip,Freak Nasty,33,miami bass,hip hop / rap
1997,I Want You,Savage Garden,33,pop,pop
1997,"For You I Will (From ""Space Jam"")",Monica,32,rnb,r&b / soul
1997,My Boo,Ghost Town DJ's,31,rnb,r&b / soul
1997,Bitch,Meredith Brooks,30,rock,rock
1997,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,30,hip-hop,hip hop / rap
1997,It's All Coming Back To Me Now,Celine Dion,30,pop,pop
1997,Mouth,Merril Bainbridge,30,pop,pop
1997,Ooh Aah... Just A Little Bit,Gina G,30,dance,dance / electronic
1997,You Learn/You Oughta Know,Alanis Morissette,30,rock,rock
1997,How Do I Live,LeAnn Rimes,29,country,country
1997,"Last Night (From ""The Nutty Professor"")",Az Yet,29,rnb,r&b / soul
1997,Loungin,LL Cool J,29,hip-hop,hip hop / rap
1997,Cupid,112,28,rnb,r&b / soul
1997,Do You Know (What It Takes),Robyn,28,pop,pop
1997,Quit Playing Games (With My Heart),Backstreet Boys,28,pop,pop
1997,If It Makes You Happy,Sheryl Crow,27,rock,rock
1997,Pony,Ginuwine,27,rnb,r&b / soul
1997,Semi-Charmed Life,Third Eye Blind,27,alternative rock,rock
1997,All For You,Sister Hazel,26,rock,rock
1997,Every Time I Close My Eyes,Babyface,26,rnb,r&b / soul
1997,I Belong To You (Every Time I See Your Face),Rome,26,neofolk,folk / acoustic
1997,Invisible Man,98 Degrees,26,pop,pop
1997,Naked Eye,Luscious Jackson,26,alternative,rock
1997,Sunny Came Home,Shawn Colvin,26,folk,folk / acoustic
1997,Call Me,Le Click,25,eurodance,dance / electronic
1997,G.H.E.T.T.O.U.T.,Changing Faces,25,rnb,r&b / soul
1997,In My Bed,Dru Hill,25,rnb,r&b / soul
1997,Key West Intermezzo (I Saw You First),John Mellencamp,24,rock,rock
1997,What Kind Of Man Would I Be,Mint Condition,24,rnb,r&b / soul
1997,Let's Make A Night To Remember,Bryan Adams,23,rock,rock
1997,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,23,hip-hop,hip hop / rap
1997,Secret Garden,Bruce Springsteen,23,rock,rock
1997,"Tell Me (From ""Eddie"")",Dru Hill,23,rnb,r&b / soul
1997,Wannabe,Spice Girls,23,pop,pop
1997,6 Underground,Sneaker Pimps,22,lush,dance / electronic
1997,I Like It,The Blackout Allstars,22,pop,pop
1997,MMMBop,Hanson,22,pop,pop
1997,When You Love A Woman,Journey,22,classic rock,rock
1997,2 Become 1,Spice Girls,21,pop,pop
1997,Jellyhead,Crush,21,rnb,r&b / soul
1997,Say You'll Be There,Spice Girls,21,pop,pop
1997,Where Have All The Cowboys Gone?,Paula Cole,21,singer-songwriter,folk / acoustic
1997,"""It's Alright, It's Ok""",Leah Andreone,20,singer-songwriter,folk / acoustic
1997,A Little Bit Of Ecstasy,Jocelyn Enriquez,20,freestyle,dance / electronic
1997,All By Myself,Celine Dion,20,pop,pop
1997,Alone,Bee Gees,20,disco,dance / electronic
1997,At Night I Pray,Wild Orchid,20,pop,pop
1997,Birmingham,Amanda Marshall,20,pop,pop
1997,Bow Down,Westside Connection,20,gangsta rap,hip hop / rap
1997,"C U When U Get There (From ""Nothing To Lose"")",Coolio Featuring 40 Thevz,20,rap,hip hop / rap
1997,Can U Feel It,3rd Party,20,dance,dance / electronic
1997,Coco Jamboo,Mr. President,20,eurodance,dance / electronic
1997,Cold Rock A Party,MC Lyte,20,hip-hop,hip hop / rap
1997,Come See Me,112,20,rnb,r&b / soul
1997,Desperately Wanting,Better Than Ezra,20,alternative rock,rock
1997,Do You Like This,Rome,20,neofolk,folk / acoustic
1997,Don't Stop Movin',Livin' Joy,20,house,dance / electronic
1997,"Don't Wanna Be A Player (From ""Booty Call"")",Joe,20,rnb,r&b / soul
1997,Everyday Is A Winding Road,Sheryl Crow,20,rock,rock
1997,Falling,Montell Jordan,20,rnb,r&b / soul
1997,Firestarter,The Prodigy,20,electronic,dance / electronic
1997,"Fly Like An Eagle (From ""Space Jam"")",Seal,20,soul,r&b / soul
1997,For You,Kenny Lattimore,20,soul,r&b / soul
1997,Gangstas Make The World Go Round,Westside Connection,20,gangsta rap,hip hop / rap
1997,Get It Together,702,20,rnb,r&b / soul
1997,"Go The Distance (From ""Hercules"")",Michael Bolton,20,pop,pop
1997,Gotham City,R. Kelly,20,rnb,r&b / soul
1997,Here's Your Sign (Get The Picture),Bill Engvall With Special Guest Travis Tritt,20,comedy,holiday
1997,Hit Me Off,New Edition,20,rnb,r&b / soul
1997,Hypnotize,The Notorious B.I.G.,20,hip-hop,hip hop / rap
1997,"I Believe In You And Me (From ""The Preacher's Wife"")",Whitney Houston,20,pop,pop
1997,"I Finally Found Someone (From ""The Mirror Has Two Faces"")",Barbra Streisand & Bryan Adams,20,pop,pop
1997,I Love Me Some Him/I Don't Want To,Toni Braxton,20,soul,r&b / soul
1997,I Say A Little Prayer,Diana King,20,reggae,reggae
1997,I Wanna Be There,Blessid Union Of Souls,20,pop,pop
1997,I'll Be,Foxy Brown Featuring Jay-Z,20,hip-hop,hip hop / rap
1997,I'm Still In Love With You,New Edition,20,rnb,r&b / soul
1997,If We Fall In Love Tonight,Rod Stewart,20,classic rock,rock
1997,If Your Girl Only Knew,Aaliyah,20,rnb,r&b / soul
1997,It's No Good,Depeche Mode,20,electronic,dance / electronic
1997,It's Your Love,Tim McGraw With Faith Hill,20,country,country
1997,Just Another Day,John Mellencamp,20,rock,rock
1997,Knocks Me Off My Feet,Donell Jones,20,rnb,r&b / soul
1997,"Let It Go (From ""Set It Off"")",Ray J,20,rnb,r&b / soul
1997,Let Me Clear My Throat,DJ Kool,20,rap,hip hop / rap
1997,"Look Into My Eyes (From ""Batman & Robin"")",Bone Thugs-N-Harmony,20,hip-hop,hip hop / rap
1997,Never Make A Promise,Dru Hill,20,rnb,r&b / soul
1997,No Time,Lil' Kim Featuring Puff Daddy,20,hip-hop,hip hop / rap
1997,One More Time,Real McCoy,20,eurodance,dance / electronic
1997,Silent All These Years,Tori Amos,20,singer-songwriter,folk / acoustic
1997,"Space Jam (From ""Space Jam"")",Quad City DJ's,20,pop,pop
1997,Steelo,702,20,rnb,r&b / soul
1997,That's Right,DJ Taz Featuring Raheem The Dream,20,booty,hip hop / rap
1997,Thinking Of You,Tony! Toni! Tone!,20,soul,r&b / soul
1997,Thirty-Three,The Smashing Pumpkins,20,alternative rock,rock
1997,To The Moon And Back,Savage Garden,20,pop,pop
1997,Tonight Is The Night,Le Click,20,eurodance,dance / electronic
1997,Until I Find You Again,Richard Marx,20,pop,pop
1997,Up Jumps Da Boogie,Magoo And Timbaland,20,hip-hop,hip hop / rap
1997,What's On Tonight,Montell Jordan,20,rnb,r&b / soul
1997,When I Die,No Mercy,20,thrash metal,pop
1997,When You're Gone/Free To Decide,The Cranberries,20,rock,rock
1997,You Bring Me Up,K-Ci & JoJo,20,rnb,r&b / soul
1997,You Make Me Wanna...,Usher,20,rnb,r&b / soul
1997,"You Must Love Me (From ""Evita"")",Madonna,20,pop,pop
1997,Your Woman,White Town,20,electronic,dance / electronic
1997,All Cried Out,Allure Featuring 112,19,trance,dance / electronic
1997,Around The World,Daft Punk,19,electronic,dance / electronic
