Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2025,Lose Control,Teddy Swims,112,soul,r&b / soul
2025,Beautiful Things,Benson Boone,89,pop,pop
2025,All I Want For Christmas Is You,Mariah Carey,79,pop,pop
2025,A Bar Song (Tipsy),Shaboozey,77,country,country
2025,Wildflower,Billie Eilish,72,peter,pop
2025,Rockin' Around The Christmas Tree,Brenda Lee,71,country,country
2025,Jingle Bell Rock,Bobby Helms,68,country,country
2025,Pink Pony Club,Chappell Roan,68,pop,pop
2025,Birds Of A Feather,Billie Eilish,67,peter,pop
2025,I Had Some Help,Post Malone Featuring Morgan Wallen,67,hip-hop,hip hop / rap
2025,Espresso,Sabrina Carpenter,65,pop,pop
2025,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",56,jazz,jazz
2025,Last Christmas,Wham!,53,christmas,holiday
2025,Not Like Us,Kendrick Lamar,53,diss,hip hop / rap
2025,"""Good Luck, Babe!""",Chappell Roan,52,pop,pop
2025,It's The Most Wonderful Time Of The Year,Andy Williams,52,pop,pop
2025,Stargazing,Myles Smith,52,groovy,pop
2025,Too Sweet,Hozier,52,2024,pop
2025,A Holly Jolly Christmas,Burl Ives,51,folk,folk / acoustic
2025,Good News,Shaboozey,46,country,country
2025,Luther,Kendrick Lamar & SZA,46,hip-hop,hip hop / rap
2025,Mutt,Leon Thomas,46,rnb,r&b / soul
2025,Love Somebody,Morgan Wallen,45,country,country
2025,Ordinary,Alex Warren,45,pop,pop
2025,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,44,jazz,jazz
2025,Feliz Navidad,Jose Feliciano,43,latin,latin
2025,Wind Up Missin' You,Tucker Wetmore,43,country,country
2025,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,42,jazz,jazz
2025,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",42,pop,pop
2025,No One Noticed,The Marias,41,indie,rock
2025,Am I Okay?,Megan Moroney,40,country,country
2025,Back To Friends,sombr,39,wsum 91.7 fm madison,rock
2025,Sailor Song,Gigi Perez,39,wsum 91.7 fm madison,folk / acoustic
2025,Sleigh Ride,The Ronettes,39,pop,pop
2025,Underneath The Tree,Kelly Clarkson,39,pop,pop
2025,Humble.,Kendrick Lamar,38,rap,hip hop / rap
2025,Please Please Please,Sabrina Carpenter,38,pop,pop
2025,Taste,Sabrina Carpenter,38,pop,pop
2025,That's So True,Gracie Abrams,38,pop,pop
2025,Worst Way,Riley Green,38,country,country
2025,30 For 30,SZA With Kendrick Lamar,36,rnb,r&b / soul
2025,Happen To Me,Russell Dickerson,36,country,country
2025,House Again,Hudson Westbrook,36,country,country
2025,I'm The Problem,Morgan Wallen,36,country pop,country
2025,Santa Tell Me,Ariana Grande,36,pop,pop
2025,Residuals,Chris Brown,35,rnb,r&b / soul
2025,I Never Lie,Zach Top,34,country,country
2025,Love Me Not,Ravyn Lenae,34,pop soul,r&b / soul
2025,Million Dollar Baby,Tommy Richman,33,melodic,r&b / soul
2025,Who,Jimin,33,jimin,pop
2025,Bed Chem,Sabrina Carpenter,32,pop,pop
2025,Christmas (Baby Please Come Home),Darlene Love,32,soul,r&b / soul
2025,I Am Not Okay,Jelly Roll,32,rap,hip hop / rap
2025,Indigo,Sam Barber Featuring Avery Anna,32,country,country
2025,Messy,Lola Young,32,indie rock,rock
2025,Peekaboo,Kendrick Lamar Featuring AzChike,32,hip-hop,hip hop / rap
2025,Sorry I'm Here For Someone Else,Benson Boone,32,pop,pop
2025,20 Cigarettes,Morgan Wallen,31,2025,country
2025,It's Beginning To Look A Lot Like Christmas,Michael Buble,31,jazz,jazz
2025,Run Rudolph Run,Chuck Berry,31,rock and roll,rock
2025,TV Off,Kendrick Lamar Featuring Lefty Gunplay,31,hip-hop,hip hop / rap
2025,EOO,Bad Bunny,30,reggaeton,latin
2025,Squabble Up,Kendrick Lamar,30,ratchet music,hip hop / rap
2025,Help Me,Real Boston Richey,29,rap,hip hop / rap
2025,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,29,country,country
2025,Just In Case,Morgan Wallen,29,country,country
2025,Better Me For You (Brown Eyes),Max McNown,28,country,country
2025,Folded,Kehlani,28,rnb,r&b / soul
2025,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,28,country,country
2025,I Got Better,Morgan Wallen,28,ballad,country
2025,Nice To Meet You,Myles Smith,28,folk,folk / acoustic
2025,6 Months Later,Megan Moroney,27,country,country
2025,Again,Fetty Wap,27,fetty wap,hip hop / rap
2025,All The Way,BigXthaPlug Featuring Bailey Zimmerman,27,rap,hip hop / rap
2025,Guy For That,Post Malone Featuring Luke Combs,27,hip-hop,hip hop / rap
2025,Mystical Magical,Benson Boone,27,pop,pop
2025,Nokia,Drake,27,drake,pop
2025,Undressed,sombr,27,indie rock,rock
2025,What I Want,Morgan Wallen Featuring Tate McRae,27,country,country
2025,All The Stars,Kendrick Lamar & SZA,26,hip-hop,hip hop / rap
2025,Burning Blue,Mariah The Scientist,26,alternative rnb,pop
2025,Ghostbusters,Ray Parker Jr.,26,pop,pop
2025,No Pole,Don Toliver,26,pop,pop
2025,Thriller,Michael Jackson,26,pop,pop
2025,Manchild,Sabrina Carpenter,25,pop,pop
2025,Bad Dreams,Teddy Swims,24,pop,pop
2025,Happy Holiday / The Holiday Season,Andy Williams,24,pop,pop
2025,Heart Of A Woman,Summer Walker,24,rnb,r&b / soul
2025,Liar,Jelly Roll,24,rap,hip hop / rap
2025,Weren't For The Wind,Ella Langley,24,country,country
2025,Yukon,Justin Bieber,24,2025,pop
2025,Daisies,Justin Bieber,23,essaehdagiselledapandlr,pop
2025,Gabriela,KATSEYE,23,pop,pop
2025,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,23,jazz,jazz
2025,Lies Lies Lies,Morgan Wallen,23,country,country
2025,Sports Car,Tate McRae,23,pop,pop
2025,Blue Strips,Jessie Murph,22,pop,pop
2025,Deck The Halls,Nat King Cole,22,jazz,jazz
2025,Somebody's Watching Me,Rockwell,22,pop,pop
2025,Your Way's Better,Forrest Frank,22,pop,pop
2025,"""Courtesy Of The Red, White And Blue (The Angry American)""",Toby Keith,21,country,country
2025,"""I Love You, I'm Sorry""",Gracie Abrams,21,pop,pop
2025,After All The Bars Are Closed,Thomas Rhett,21,country,country
2025,Blue Christmas,Elvis Presley,21,rock n roll,rock
2025,Close To You,Gracie Abrams,21,my top songs,pop
2025,Cry For Me,The Weeknd,21,funk brasileiro,pop
2025,Don't Mind If I Do,Riley Green Featuring Ella Langley,21,country,country
2025,Fortnight,Taylor Swift Featuring Post Malone,21,country,country
2025,It Depends,Chris Brown Featuring Bryson Tiller,21,rnb,r&b / soul
2025,Marlboro Rojo,Fuerza Regida,21,corridos tumbados,latin
2025,Party 4 U,Charli xcx,21,bubblegum bass,pop
2025,Please Come Home For Christmas,Eagles,21,classic rock,rock
2025,Romantic Homicide,d4vd,21,indie pop,rock
2025,Smile,Morgan Wallen,21,country,country
2025,Somewhere Over Laredo,Lainey Wilson,21,country,country
2025,4x4xU,Lainey Wilson,20,country,country
2025,Abracadabra,Lady Gaga,20,pop,pop
2025,Anxiety,Doechii,20,pop rap,pop
2025,Apple,Charli xcx,20,synthpop,pop
2025,BMF,SZA,20,bossa nova,pop
2025,Baile Inolvidable,Bad Bunny,20,salsa,latin
2025,DTMF,Bad Bunny,20,latin,latin
2025,Diet Pepsi,Addison Rae,20,pop,pop
2025,Fix What You Didn't Break,Nate Smith,20,jazz,jazz
2025,Hell At Night,BigXthaPlug Featuring Ella Langley,20,rap,hip hop / rap
2025,It's Ok I'm Ok,Tate McRae,20,dance-pop,pop
2025,Just Keep Watching,Tate McRae,20,pop,pop
2025,Loco,Neton Vega,20,mexico,latin
2025,Nuevayol,Bad Bunny,20,dembow,latin
2025,Sparks,Coldplay,20,rock,rock
2025,Went Legit,G Herbo,20,drill,hip hop / rap
2025,Wonderful Christmastime,Paul McCartney,20,classic rock,rock
2025,Wondering Why,The Red Clay Strays,20,country,country
2025,wgft,Gunna Featuring Burna Boy,20,rap,hip hop / rap
2025,"""Mama, I'm Coming Home""",Ozzy Osbourne,19,heavy metal,rock
2025,12 To 12,sombr,19,disco,dance / electronic
2025,Back In The Saddle,Luke Combs,19,country,country
2025,Denial Is A River,Doechii,19,hip-hop,hip hop / rap
2025,Last One To Know,Gavin Adcock,19,country,country
2025,Outside,Cardi B,19,hip-hop,hip hop / rap
2025,The Largest,BigXthaPlug,19,rap,hip hop / rap
2025,Bar None,Jordan Davis,18,country,country
2025,Dancing In The Flames,The Weeknd,18,pop,pop
2025,Man I Need,Olivia Dean,18,pop,pop
2025,Mistletoe,Justin Bieber,18,pop,pop
2025,Twilight Zone,Ariana Grande,18,pop,pop
2025,"""You're A Mean One, Mr. Grinch""",Thurl Ravenscroft,17,christmas,holiday
2025,Dark Thoughts,Lil Tecca,17,rap,hip hop / rap
2025,Euphoria,Kendrick Lamar,17,diss,hip hop / rap
2025,I'm A Little Crazy,Morgan Wallen,17,country,country
2025,Juno,Sabrina Carpenter,17,pop,pop
2025,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,17,jazz,jazz
2025,Strategy,Twice,17,kpop,soundtrack
2025,Superman,Morgan Wallen,17,country,country
2025,Tears,Sabrina Carpenter,17,disco,dance / electronic
2025,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,16,jazz,jazz
2025,Backseat Driver,Kane Brown,16,country,country
2025,Busy Woman,Sabrina Carpenter,16,pop,pop
2025,Holy Smokes,Bailey Zimmerman,16,country,country
2025,Camera,Ed Sheeran,15,acoustic,folk / acoustic
2025,Little Saint Nick,The Beach Boys,15,classic rock,rock
2025,Por Esos Ojos,Fuerza Regida,15,corridos tumbados,latin
2025,Santa Claus Is Comin' To Town,Jackson 5,15,soul,r&b / soul
