Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
1986,I Miss You,Klymaxx,29,funk,r&b / soul
1986,Stand By Me,Ben E. King,28,soul,r&b / soul
1986,Conga,Miami Sound Machine,27,pop,pop
1986,Something About You,Level 42,27,pop,pop
1986,Take On Me,a-ha,27,pop,pop
1986,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,26,new wave,rock
1986,Twist And Shout,The Beatles,26,classic rock,rock
1986,Let's Go All The Way,Sly Fox,25,pop,pop
1986,Perfect Way,Scritti Politti,25,new wave,rock
1986,All Cried Out,Lisa Lisa And Cult Jam With Full Force Featuring Paul Anthony & Bow Legged Lou,24,pop,pop
1986,Don't Forget Me (When I'm Gone),Glass Tiger,24,rock,rock
1986,Never,Heart,24,classic rock,rock
1986,Object Of My Desire,Starpoint,24,funk,r&b / soul
1986,Silent Running (On Dangerous Ground),Mike + The Mechanics,24,rock,rock
1986,We Built This City,Starship,24,classic rock,rock
1986,Words Get In The Way,Miami Sound Machine,24,pop,pop
1986,"""When The Going Gets Tough, The Tough Get Going""",Billy Ocean,23,pop,pop
1986,A Love Bizarre,Sheila E.,23,pop,pop
1986,Holding Back The Years,Simply Red,23,pop,pop
1986,How Will I Know,Whitney Houston,23,pop,pop
1986,I Can't Wait,Nu Shooz,23,dance,dance / electronic
1986,No One Is To Blame,Howard Jones,23,new wave,rock
1986,On My Own,Patti LaBelle & Michael McDonald,23,soul,r&b / soul
1986,Secret Lovers,Atlantic Starr,23,soul,r&b / soul
1986,Addicted To Love,Robert Palmer,22,rock,rock
1986,Be Near Me,ABC,22,new wave,rock
1986,Broken Wings,Mr. Mister,22,pop,pop
1986,Burning Heart,Survivor,22,classic rock,rock
1986,Higher Love,Steve Winwood,22,classic rock,rock
1986,Love Theme From St. Elmo's Fire (Instrumental),David Foster,22,instrumental,pop
1986,Miami Vice Theme,Jan Hammer,22,electronic,dance / electronic
1986,Party All The Time,Eddie Murphy,22,comedy,pop
1986,Point Of No Return,Nu Shooz,22,dance,dance / electronic
1986,Saving All My Love For You,Whitney Houston,22,pop,pop
