Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2007,Before He Cheats,Carrie Underwood,64,country,country
2007,How To Save A Life,The Fray,58,alternative,rock
2007,What Hurts The Most,Rascal Flatts,51,country,country
2007,Chasing Cars,Snow Patrol,45,indie,rock
2007,Rockstar,Nickelback,45,rock,rock
2007,Face Down,The Red Jumpsuit Apparatus,43,rock,rock
2007,The Sweet Escape,Gwen Stefani Featuring Akon,40,pop,pop
2007,Waiting On The World To Change,John Mayer,40,singer-songwriter,folk / acoustic
2007,Home,Daughtry,37,rock,rock
2007,SexyBack,Justin Timberlake,36,pop,pop
2007,Walk It Out,Unk,36,dirty south,hip hop / rap
2007,Big Girls Don't Cry,Fergie,35,pop,pop
2007,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,35,rnb,r&b / soul
2007,Hey There Delilah,Plain White T's,35,acoustic,folk / acoustic
2007,Lips Of An Angel,Hinder,33,rock,rock
2007,U + Ur Hand,P!nk,33,pop,pop
2007,Umbrella,Rihanna Featuring Jay-Z,33,pop,pop
2007,Far Away,Nickelback,30,rock,rock
2007,Irreplaceable,Beyonce,30,rnb,r&b / soul
2007,Say It Right,Nelly Furtado,30,pop,pop
2007,Smack That,Akon Featuring Eminem,30,hip-hop,hip hop / rap
2007,Suddenly I See,KT Tunstall,30,pop,pop
2007,Wait For You,Elliott Yamin,30,pop,pop
2007,Glamorous,Fergie Featuring Ludacris,29,pop,pop
2007,I Wanna Love You,Akon Featuring Snoop Dogg,29,hip-hop,hip hop / rap
2007,It's Not Over,Daughtry,29,rock,rock
2007,My Love,Justin Timberlake Featuring T.I.,29,pop,pop
2007,The Way I Are,Timbaland Featuring Keri Hilson,29,timbaland,hip hop / rap
2007,Paralyzer,Finger Eleven,28,rock,rock
2007,Teardrops On My Guitar,Taylor Swift,28,country,country
2007,Thnks Fr Th Mmrs,Fall Out Boy,28,rock,rock
2007,Who Knew,P!nk,28,pop,pop
