Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2008,Paralyzer,Finger Eleven,50,rock,rock
2008,Rockstar,Nickelback,49,rock,rock
2008,Big Girls Don't Cry,Fergie,48,pop,pop
2008,Teardrops On My Guitar,Taylor Swift,48,country,country
2008,Apologize,Timbaland Featuring OneRepublic,47,rnb,r&b / soul
2008,Bubbly,Colbie Caillat,47,pop,pop
2008,Love Song,Sara Bareilles,41,pop,pop
2008,Low,Flo Rida Featuring T-Pain,40,hip-hop,hip hop / rap
2008,Bleeding Love,Leona Lewis,39,pop,pop
2008,No One,Alicia Keys,39,soul,r&b / soul
2008,The Way I Are,Timbaland Featuring Keri Hilson,38,timbaland,hip hop / rap
2008,Closer,Ne-Yo,36,rnb,r&b / soul
2008,I'm Yours,Jason Mraz,36,acoustic,folk / acoustic
2008,Our Song,Taylor Swift,36,country,country
2008,Who Knew,P!nk,36,pop,pop
2008,No Air,Jordin Sparks Duet With Chris Brown,35,pop,pop
2008,Pocketful Of Sunshine,Natasha Bedingfield,35,pop,pop
2008,Forever,Chris Brown,33,rnb,r&b / soul
2008,Viva La Vida,Coldplay,33,alternative,rock
2008,Crank That (Soulja Boy),Soulja Boy Tell'em,32,soulja boy,hip hop / rap
2008,Stop And Stare,OneRepublic,31,pop rock,rock
2008,Tattoo,Jordin Sparks,31,pop,pop
2008,American Boy,Estelle Featuring Kanye West,30,rnb,r&b / soul
2008,Cyclone,Baby Bash Featuring T-Pain,30,hip-hop,hip hop / rap
2008,Don't Stop The Music,Rihanna,30,dance,dance / electronic
2008,Misery Business,Paramore,30,rock,rock
2008,Shake It,Metro Station,30,dance,dance / electronic
2008,It's Not My Time,3 Doors Down,29,alternative rock,rock
2008,Love Remains The Same,Gavin Rossdale,29,alternative rock,rock
2008,With You,Chris Brown,29,rnb,r&b / soul
2008,Addicted,Saving Abel,28,alternative rock,rock
2008,Fall For You,Secondhand Serenade,28,acoustic,folk / acoustic
2008,Lollipop,Lil Wayne Featuring Static Major,28,hip hop,hip hop / rap
2008,Say,John Mayer,28,singer-songwriter,folk / acoustic
2008,Dangerous,Kardinal Offishall Featuring Akon,27,hip-hop,hip hop / rap
2008,Disturbia,Rihanna,27,pop,pop
2008,Got Money,Lil Wayne Featuring T-Pain,27,hip-hop,hip hop / rap
2008,See You Again,Miley Cyrus,27,pop,pop
2008,Stronger,Kanye West,27,hip-hop,hip hop / rap
2008,Take A Bow,Rihanna,27,pop,pop
2008,Hate That I Love You,Rihanna Featuring Ne-Yo,26,pop,pop
2008,Kiss Kiss,Chris Brown Featuring T-Pain,26,rnb,r&b / soul
2008,Realize,Colbie Caillat,26,pop,pop
2008,Clumsy,Fergie,25,pop,pop
2008,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,25,dirty south,hip hop / rap
2008,Love In This Club,Usher Featuring Young Jeezy,25,rnb,r&b / soul
2008,Over You,Daughtry,25,rock,rock
2008,Take You There,Sean Kingston,25,rnb,r&b / soul
2008,Until The End Of Time,Justin Timberlake Duet With Beyonce,25,pop,pop
2008,What You Got,Colby O'Donis Featuring Akon,25,rnb,r&b / soul
2008,Better In Time,Leona Lewis,24,pop,pop
2008,Can't Help But Wait,Trey Songz,24,rnb,r&b / soul
2008,Leavin',Jesse McCartney,24,pop,pop
2008,Like You'll Never See Me Again,Alicia Keys,24,soul,r&b / soul
2008,Sorry,Buckcherry,24,hard rock,rock
2008,Suffocate,J. Holiday,24,rnb,r&b / soul
2008,"""Ready, Set, Don't Go""",Billy Ray Cyrus With Miley Cyrus,23,country,country
