Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2011,If I Die Young,The Band Perry,53,country,country
2011,Rolling In The Deep,Adele,50,soul,r&b / soul
2011,F**k You! (Forget You),CeeLo Green,48,soul,r&b / soul
2011,Just The Way You Are,Bruno Mars,48,pop,pop
2011,Dynamite,Taio Cruz,47,dance,dance / electronic
2011,Firework,Katy Perry,39,pop,pop
2011,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,39,dance,dance / electronic
2011,I Like It,Enrique Iglesias Featuring Pitbull,38,pop,pop
2011,Animal,Neon Trees,36,poptron,rock
2011,Crazy Girl,Eli Young Band,36,country,country
2011,Grenade,Bruno Mars,36,pop,pop
2011,The Good Life,OneRepublic,35,pop rock,rock
2011,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,34,rnb,r&b / soul
2011,Pumped Up Kicks,Foster the People,34,indie,rock
2011,Super Bass,Nicki Minaj,34,nicki minaj,pop
2011,Down On Me,Jeremih Featuring 50 Cent,33,rnb,r&b / soul
2011,Just A Kiss,Lady Antebellum,33,country,country
2011,Secrets,OneRepublic,33,alternative rock,rock
2011,Teenage Dream,Katy Perry,33,pop,pop
2011,The Show Goes On,Lupe Fiasco,33,hip-hop,hip hop / rap
2011,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,32,hip-hop,hip hop / rap
2011,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,31,country,country
2011,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,31,hip-hop,hip hop / rap
2011,Jar Of Hearts,Christina Perri,31,pop,pop
2011,Just Can't Get Enough,The Black Eyed Peas,31,hip-hop,hip hop / rap
2011,E.T.,Katy Perry Featuring Kanye West,30,pop,pop
2011,F**kin' Perfect,P!nk,30,pop,pop
2011,Raise Your Glass,P!nk,30,pop,pop
2011,Tonight Tonight,Hot Chelle Rae,30,pop,pop
2011,Club Can't Handle Me,Flo Rida Featuring David Guetta,29,hip-hop,hip hop / rap
2011,For The First Time,The Script,29,pop rock,rock
2011,Love The Way You Lie,Eminem Featuring Rihanna,29,955 wkqi,hip hop / rap
2011,On The Floor,Jennifer Lopez Featuring Pitbull,29,pop,pop
2011,Just A Dream,Nelly,28,hip-hop,hip hop / rap
2011,Stereo Love,Edward Maya & Vika Jigulina,28,house,dance / electronic
2011,Deuces,Chris Brown Featuring Tyga & Kevin McCall,27,rnb,r&b / soul
2011,Dirt Road Anthem,Jason Aldean,27,country,country
2011,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,27,rnb,r&b / soul
2011,Only Girl (In The World),Rihanna,27,dance,dance / electronic
2011,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,27,hip-hop,hip hop / rap
2011,The Lazy Song,Bruno Mars,27,pop,pop
2011,Blow,Ke$ha,26,pop,pop
2011,Bottoms Up,Trey Songz Featuring Nicki Minaj,26,rnb,r&b / soul
2011,Like A G6,Far*East Movement Featuring Cataracs & Dev,26,dance,dance / electronic
2011,Love You Like A Love Song,Selena Gomez & The Scene,26,pop,pop
2011,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,26,pop rock,rock
2011,sssS&M,Rihanna Featuring Britney Spears,26,pop,pop
2011,All Of The Lights,Kanye West,25,hip-hop,hip hop / rap
2011,Black And Yellow,Wiz Khalifa,25,hip-hop,hip hop / rap
2011,Motivation,Kelly Rowland Featuring Lil Wayne,25,rnb,r&b / soul
2011,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,25,pop,pop
2011,Barefoot Blue Jean Night,Jake Owen,24,country,country
2011,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,24,hip-hop,hip hop / rap
2011,How To Love,Lil Wayne,24,hip-hop,hip hop / rap
2011,Last Friday Night (T.G.I.F.),Katy Perry,24,pop,pop
2011,Right Above It,Lil Wayne Featuring Drake,24,hip-hop,hip hop / rap
2011,Someone Like You,Adele,24,soul,r&b / soul
2011,Stuck Like Glue,Sugarland,24,country,country
2011,The Edge Of Glory,Lady Gaga,24,pop,pop
2011,Till The World Ends,Britney Spears Featuring Nicki Minaj & Ke$ha,24,pop,pop
2011,Yeah 3X,Chris Brown,24,rnb,r&b / soul
2011,God Gave Me You,Blake Shelton,23,country,country
2011,Mine,Taylor Swift,23,country,country
2011,Moment 4 Life,Nicki Minaj Featuring Drake,23,hip-hop,hip hop / rap
2011,Sure Thing,Miguel,23,rnb,r&b / soul
2011,Take A Back Road,Rodney Atkins,23,country,country
2011,Waiting For The End,Linkin Park,23,alternative rock,rock
2011,You Make Me Feel...,Cobra Starship Featuring Sabi,23,pop punk,rock
2011,Lighters,Bad Meets Evil Featuring Bruno Mars,22,hip-hop,hip hop / rap
2011,Little Lion Man,Mumford & Sons,22,folk,folk / acoustic
2011,More,Usher,22,rnb,r&b / soul
2011,Pretty Girl Rock,Keri Hilson,22,rnb,r&b / soul
2011,Roll Up,Wiz Khalifa,22,hip-hop,hip hop / rap
2011,What's My Name?,Rihanna Featuring Drake,22,pop,pop
2011,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,21,club,hip hop / rap
2011,A Little Bit Stronger,Sara Evans,21,country,country
2011,Country Must Be Country Wide,Brantley Gilbert,21,country,country
2011,Easy,Rascal Flatts Featuring Natasha Bedingfield,21,country,country
2011,Homeboy,Eric Church,21,country,country
2011,Love Like Woe,The Ready Set,21,powerpop,dance / electronic
2011,My Last,Big Sean Featuring Chris Brown,21,hip-hop,hip hop / rap
2011,Rhythm of Love,Plain White T's,21,indie,rock
2011,Tomorrow,Chris Young,21,country,country
2011,Am I The Only One,Dierks Bentley,20,country,country
2011,Are You Gonna Kiss Me Or Not,Thompson Square,20,country,country
2011,As She's Walking Away,Zac Brown Band Featuring Alan Jackson,20,country,country
2011,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,20,rap,hip hop / rap
2011,Back To December,Taylor Swift,20,country,country
2011,Backseat,New Boyz Featuring The Cataracs & Dev,20,hip-hop,hip hop / rap
2011,Best Love Song,T-Pain Featuring Chris Brown,20,rnb,r&b / soul
2011,Best Thing I Never Had,Beyonce,20,rnb,r&b / soul
2011,Born This Way,Lady Gaga,20,pop,pop
2011,Can't Be Friends,Trey Songz,20,rnb,r&b / soul
2011,Colder Weather,Zac Brown Band,20,country,country
2011,Country Girl (Shake It For Me),Luke Bryan,20,country,country
2011,Dog Days Are Over,Florence + The Machine,20,indie,rock
2011,Felt Good On My Lips,Tim McGraw,20,country,country
2011,Heart Like Mine,Miranda Lambert,20,country,country
2011,Hello,Martin Solveig & Dragonette,20,house,dance / electronic
2011,Hello World,Lady Antebellum,20,country,country
2011,Here For A Good Time,George Strait,20,country,country
2011,Honey Bee,Blake Shelton,20,country,country
2011,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,20,hip-hop,hip hop / rap
2011,I Wanna Go,Britney Spears,20,pop,pop
2011,I Won't Let Go,Rascal Flatts,20,country,country
2011,If Heaven Wasn't So Far Away,Justin Moore,20,country,country
2011,In The Dark,Dev,20,electronic,dance / electronic
2011,John,Lil Wayne Featuring Rick Ross,20,hip-hop,hip hop / rap
2011,Just Fishin',Trace Adkins,20,country,country
2011,Keep Your Head Up,Andy Grammer,20,pop,pop
2011,Knee Deep,Zac Brown Band Featuring Jimmy Buffett,20,country,country
2011,Let Me Down Easy,Billy Currington,20,country,country
2011,Made In America,Toby Keith,20,country,country
2011,Marry Me,Train,20,rock,rock
2011,Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash,20,hip-hop,hip hop / rap
2011,Mean,Taylor Swift,20,country,country
2011,Mr. Saxobeat,Alexandra Stan,20,pop,pop
2011,My Kinda Party,Jason Aldean,20,country,country
2011,No Love,Eminem Featuring Lil Wayne,20,rap,hip hop / rap
2011,Old Alabama,Brad Paisley Featuring Alabama,20,country,country
2011,Please Don't Go,Mike Posner,20,hip-hop,hip hop / rap
2011,Price Tag,Jessie J Featuring B.o.B,20,pop,pop
2011,Put You In A Song,Keith Urban,20,country,country
2011,Remind Me,Brad Paisley Duet With Carrie Underwood,20,country,country
2011,Rocketeer,Far*East Movement Featuring Ryan Tedder,20,pop,pop
2011,She Ain't You,Chris Brown,20,rnb,r&b / soul
2011,Smoke A Little Smoke,Eric Church,20,country,country
2011,Someone Else Calling You Baby,Luke Bryan,20,country,country
2011,Somewhere With You,Kenny Chesney,20,country,country
2011,Sparks Fly,Taylor Swift,20,country,country
2011,Take Over Control,Afrojack Featuring Eva Simons,20,house,dance / electronic
