Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2006,You And Me,Lifehouse,62,alternative,rock
2006,What Hurts The Most,Rascal Flatts,46,country,country
2006,Feel Good Inc,Gorillaz,45,alternative,rock
2006,Beverly Hills,Weezer,43,alternative rock,rock
2006,We Belong Together,Mariah Carey,43,mariah carey,r&b / soul
2006,"""Sugar, We're Goin' Down""",Fall Out Boy,42,pop punk,rock
2006,Over My Head (Cable Car),The Fray,42,rock,rock
2006,Unwritten,Natasha Bedingfield,42,pop,pop
2006,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,40,pop,pop
2006,Dirty Little Secret,The All-American Rejects,39,rock,rock
2006,Gold Digger,Kanye West Featuring Jamie Foxx,39,hip-hop,hip hop / rap
2006,Move Along,The All-American Rejects,39,rock,rock
2006,Run It!,Chris Brown,38,rnb,r&b / soul
2006,You're Beautiful,James Blunt,38,pop,pop
2006,Because Of You,Kelly Clarkson,37,pop,pop
2006,I Write Sins Not Tragedies,Panic! At The Disco,37,rock,rock
2006,How To Save A Life,The Fray,36,alternative,rock
2006,My Humps,The Black Eyed Peas,36,hip-hop,hip hop / rap
2006,Breathe (2 AM),Anna Nalick,34,singer-songwriter,folk / acoustic
2006,Be Without You,Mary J. Blige,33,rnb,r&b / soul
2006,Photograph,Nickelback,33,rock,rock
2006,Bad Day,Daniel Powter,32,pop,pop
2006,"""Dance, Dance""",Fall Out Boy,31,pop punk,rock
2006,Chasing Cars,Snow Patrol,31,indie,rock
2006,Everytime We Touch,Cascada,31,dance,dance / electronic
2006,Hips Don't Lie,Shakira Featuring Wyclef Jean,31,pop,pop
2006,Ridin',Chamillionaire Featuring Krayzie Bone,31,hip-hop,hip hop / rap
2006,Temperature,Sean Paul,31,reggae,reggae
2006,Black Horse & The Cherry Tree,KT Tunstall,30,singer-songwriter,folk / acoustic
2006,Buttons,The Pussycat Dolls Featuring Snoop Dogg,30,pop,pop
2006,Crazy,Gnarls Barkley,29,soul,r&b / soul
2006,Walk Away,Kelly Clarkson,29,pop,pop
2006,Check On It,Beyonce Featuring Slim Thug,28,rnb,r&b / soul
2006,Hate Me,Blue October,28,alternative rock,rock
2006,It's Goin' Down,Yung Joc,28,hip-hop,hip hop / rap
2006,Rompe,Daddy Yankee,28,reggaeton,latin
2006,SOS,Rihanna,28,pop,pop
2006,Savin' Me,Nickelback,28,rock,rock
2006,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,28,crunk,hip hop / rap
2006,We Be Burnin',Sean Paul,28,dancehall,reggae
2006,Me & U,Cassie,27,rnb,r&b / soul
2006,Wake Me Up When September Ends,Green Day,27,rock,rock
2006,Dani California,Red Hot Chili Peppers,26,rock,rock
2006,I'm Sprung,T-Pain,26,rnb,r&b / soul
2006,Laffy Taffy,D4L,26,hip-hop,hip hop / rap
2006,Promiscuous,Nelly Furtado Featuring Timbaland,26,pop,pop
2006,Shake It Off,Mariah Carey,26,pop,pop
2006,Stickwitu,The Pussycat Dolls,26,pop,pop
2006,Who Says You Can't Go Home,Bon Jovi,26,rock,rock
2006,"""Lean Wit It, Rock Wit It""",Dem Franchize Boyz Featuring Lil Peanut & Charlay,25,hip-hop,hip hop / rap
2006,One Wish,Ray J,25,rnb,r&b / soul
2006,So Sick,Ne-Yo,25,rnb,r&b / soul
2006,U And Dat,E-40 Featuring T-Pain & Kandi Girl,25,rap,hip hop / rap
2006,What's Left Of Me,Nick Lachey,25,pop,pop
2006,"""Jesus, Take The Wheel""",Carrie Underwood,24,country,country
2006,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark,24,hip-hop,hip hop / rap
2006,SexyBack,Justin Timberlake,24,pop,pop
2006,Soul Survivor,Young Jeezy Featuring Akon,24,hip-hop,hip hop / rap
2006,There It Go! (The Whistle Song),Juelz Santana,24,rap,hip hop / rap
2006,Lips Of An Angel,Hinder,23,rock,rock
2006,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,23,rap,hip hop / rap
2006,Touch It,Busta Rhymes,23,hip-hop,hip hop / rap
2006,Waiting On The World To Change,John Mayer,23,singer-songwriter,folk / acoustic
2006,(When You Gonna) Give It Up To Me,Sean Paul Feat. Keyshia Cole,22,dancehall,reggae
2006,Far Away,Nickelback,22,rock,rock
2006,Pump It,The Black Eyed Peas,22,hip-hop,hip hop / rap
2006,Sexy Love,Ne-Yo,22,rnb,r&b / soul
2006,Unpredictable,Jamie Foxx Featuring Ludacris,22,rnb,r&b / soul
2006,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ,21,rnb,r&b / soul
2006,Don't Forget About Us,Mariah Carey,21,pop,pop
2006,Like We Never Loved At All,Faith Hill,21,country,country
2006,London Bridge,Fergie,21,pop,pop
2006,Shake That,Eminem Featuring Nate Dogg,21,rap,hip hop / rap
