Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2012,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,68,dance,dance / electronic
2012,Rolling In The Deep,Adele,65,soul,r&b / soul
2012,Lights,Ellie Goulding,52,pop,pop
2012,Somebody That I Used To Know,Gotye Featuring Kimbra,50,indie,rock
2012,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,49,pop rock,rock
2012,I Won't Give Up,Jason Mraz,44,acoustic,folk / acoustic
2012,Call Me Maybe,Carly Rae Jepsen,43,pop,pop
2012,Set Fire To The Rain,Adele,43,soul,r&b / soul
2012,Some Nights,fun.,43,indie,rock
2012,Sexy And I Know It,LMFAO,42,dance,dance / electronic
2012,We Are Young,fun. Featuring Janelle Monae,42,indie,rock
2012,Just A Kiss,Lady Antebellum,41,country,country
2012,We Found Love,Rihanna Featuring Calvin Harris,41,pop,pop
2012,Pumped Up Kicks,Foster the People,40,indie,rock
2012,Everybody Talks,Neon Trees,39,alternative,rock
2012,Someone Like You,Adele,39,soul,r&b / soul
2012,Super Bass,Nicki Minaj,39,nicki minaj,pop
2012,Love You Like A Love Song,Selena Gomez & The Scene,38,pop,pop
2012,Too Close,Alex Clare,38,dubstep,dance / electronic
2012,Glad You Came,The Wanted,37,pop,pop
2012,Good Feeling,Flo Rida,37,party,hip hop / rap
2012,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,37,hip-hop,hip hop / rap
2012,Stronger (What Doesn't Kill You),Kelly Clarkson,37,pop,pop
2012,Drive By,Train,36,pop,pop
2012,Wild Ones,Flo Rida Featuring Sia,36,hip-hop,hip hop / rap
2012,Not Over You,Gavin DeGraw,35,singer-songwriter,folk / acoustic
2012,The Motto,Drake Featuring Lil Wayne,35,rap,hip hop / rap
2012,Take Care,Drake Featuring Rihanna,34,pop,pop
2012,Wanted,Hunter Hayes,34,country,country
2012,What Makes You Beautiful,One Direction,34,pop,pop
2012,Titanium,David Guetta Featuring Sia,33,house,dance / electronic
2012,"""Young, Wild & Free""",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,32,hip-hop,hip hop / rap
2012,Give Your Heart A Break,Demi Lovato,32,pop,pop
2012,Paradise,Coldplay,32,alternative rock,rock
2012,Payphone,Maroon 5 Featuring Wiz Khalifa,31,pop,pop
2012,Starships,Nicki Minaj,31,pop,pop
2012,Little Talks,Of Monsters and Men,30,indie,rock
2012,Without You,David Guetta Featuring Usher,30,house,dance / electronic
2012,Domino,Jessie J,29,pop,pop
2012,I Will Always Love You,Whitney Houston,29,pop,pop
2012,It Will Rain,Bruno Mars,29,pop,pop
2012,Whistle,Flo Rida,29,hip-hop,hip hop / rap
2012,You Make Me Feel...,Cobra Starship Featuring Sabi,29,pop punk,rock
2012,Ho Hey,The Lumineers,28,indie,rock
2012,It's Time,Imagine Dragons,28,indie,rock
2012,Work Out,J. Cole,28,hip hop,hip hop / rap
2012,Rumour Has It,Adele,27,soul,r&b / soul
2012,Turn Me On,David Guetta Featuring Nicki Minaj,27,house,dance / electronic
2012,A Thousand Years,Christina Perri,26,soundtrack,soundtrack
2012,As Long As You Love Me,Justin Bieber Featuring Big Sean,26,pop,pop
2012,Feel So Close,Calvin Harris,26,electronic,dance / electronic
2012,Heart Attack,Trey Songz,26,rnb,r&b / soul
2012,International Love,Pitbull Featuring Chris Brown,26,hip-hop,hip hop / rap
2012,No Lie,2 Chainz Featuring Drake,26,hip-hop,hip hop / rap
2012,One More Night,Maroon 5,26,pop,pop
2012,Where Have You Been,Rihanna,26,dance,dance / electronic
2012,Wide Awake,Katy Perry,26,pop,pop
2012,Brighter Than The Sun,Colbie Caillat,25,pop,pop
2012,Don't Wake Me Up,Chris Brown,25,rnb,r&b / soul
2012,God Gave Me You,Blake Shelton,25,country,country
2012,Headlines,Drake,25,rap,hip hop / rap
2012,Home,Phillip Phillips,25,folk,folk / acoustic
2012,Rack City,Tyga,25,hip-hop,hip hop / rap
2012,Time Is Love,Josh Turner,25,country,country
2012,Blow Me (One Last Kiss),P!nk,24,pop,pop
2012,Dance (A$$),Big Sean Featuring Nicki Minaj,24,hip-hop,hip hop / rap
2012,Drunk On You,Luke Bryan,24,country,country
2012,Good Time,Owl City & Carly Rae Jepsen,24,pop,pop
