Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
1994,Whoomp! (There It Is),Tag Team,45,hip-hop,hip hop / rap
1994,Come To My Window,Melissa Etheridge,44,rock,rock
1994,The Sign,Ace of Base,41,pop,pop
1994,All That She Wants,Ace of Base,36,pop,pop
1994,Breathe Again,Toni Braxton,35,soul,r&b / soul
1994,Found Out About You,Gin Blossoms,34,alternative rock,rock
1994,The Power Of Love,Celine Dion,33,pop,pop
1994,100% Pure Love,Crystal Waters,32,house,dance / electronic
1994,Wild Night,John Mellencamp With Me'Shell Ndegeocello,32,rock,rock
1994,Don't Turn Around,Ace of Base,31,pop,pop
1994,If You Go,Jon Secada,31,pop,pop
1994,You Mean The World To Me,Toni Braxton,31,soul,r&b / soul
1994,Hero,Mariah Carey,30,pop,pop
1994,I Swear,All-4-One,30,rnb,r&b / soul
1994,"Stay (I Missed You) (From ""Reality Bites"")",Lisa Loeb & Nine Stories,30,singer-songwriter,folk / acoustic
1994,Dreamlover,Mariah Carey,29,pop,pop
1994,Shine,Collective Soul,29,alternative rock,rock
1994,Whatta Man,Salt-N-Pepa Featuring En Vogue,29,hip-hop,hip hop / rap
1994,When Can I See You,Babyface,29,rnb,r&b / soul
1994,"Baby I Love Your Way (From ""Reality Bites"")",Big Mountain,28,reggae,reggae
1994,Dreams,Gabrielle,28,pop,pop
1994,Please Forgive Me,Bryan Adams,28,rock,rock
1994,Cantaloop (Flip Fantasia),US3,27,acid jazz,jazz
1994,If,Janet Jackson,27,pop,pop
1994,Now And Forever,Richard Marx,27,pop,pop
1994,The River Of Dreams,Billy Joel,27,classic rock,rock
1994,Can We Talk,Tevin Campbell,26,rnb,r&b / soul
1994,"Can You Feel The Love Tonight (From ""The Lion King"")",Elton John,26,pop,pop
1994,Cryin',Aerosmith,26,hard rock,rock
1994,"I'll Remember (From ""With Honors"")",Madonna,26,pop,pop
1994,Return To Innocence,Enigma,26,new age,dance / electronic
1994,The Most Beautiful Girl In The World,Prince,26,funk,r&b / soul
1994,Tootsee Roll,69 Boyz,26,miami bass,hip hop / rap
1994,What Is Love,Haddaway,26,dance,dance / electronic
1994,Bump N' Grind,R. Kelly,25,rnb,r&b / soul
1994,Fantastic Voyage,Coolio,25,rap,hip hop / rap
1994,"I Can See Clearly Now (From ""Cool Runnings"")",Jimmy Cliff,25,reggae,reggae
1994,Shoop,Salt-N-Pepa,25,hip-hop,hip hop / rap
1994,Sweat (A La La La La Long),Inner Circle,25,reggae,reggae
1994,Back & Forth,Aaliyah,24,rnb,r&b / soul
1994,Hey Mr. D.J.,Zhane,24,rnb,r&b / soul
1994,Linger,The Cranberries,24,rock,rock
1994,Loser,Beck,24,alternative,rock
1994,Mmm Mmm Mmm Mmm,Crash Test Dummies,24,rock,rock
1994,Said I Loved You...But I Lied,Michael Bolton,24,pop,pop
1994,Again,Janet Jackson,23,pop,pop
1994,Always,Erasure,23,synthpop,pop
1994,Crazy,Aerosmith,23,hard rock,rock
1994,I Miss You,Aaron Hall,23,rnb,r&b / soul
1994,Never Keeping Secrets,Babyface,23,rnb,r&b / soul
1994,Never Lie,Immature,23,rnb,r&b / soul
1994,No Rain,Blind Melon,23,rock,rock
1994,Without You/Never Forget You,Mariah Carey,23,pop,pop
1994,All I Wanna Do,Sheryl Crow,22,rock,rock
1994,Closer,Nine Inch Nails,22,industrial,rock
1994,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,22,rock,rock
1994,I'm Ready,Tevin Campbell,22,rnb,r&b / soul
1994,I'm The Only One,Melissa Etheridge,22,rock,rock
1994,Jessie,Joshua Kadison,22,pop,pop
1994,None Of Your Business,Salt-N-Pepa,22,hip-hop,hip hop / rap
1994,So Much In Love,All-4-One,22,rnb,r&b / soul
1994,"""December 1963 (Oh, What A Night)""",The 4 Seasons,21,pop,pop
1994,Amazing,Aerosmith,21,hard rock,rock
1994,Anytime You Need A Friend,Mariah Carey,21,pop,pop
1994,Beautiful In My Eyes,Joshua Kadison,21,pop,pop
1994,Come Baby Come,K7,21,hip-hop,hip hop / rap
1994,Dunkie Butt (Please Please Please),12 Gauge,21,hip-hop,hip hop / rap
1994,Flava In Ya Ear,Craig Mack,21,hip-hop,hip hop / rap
1994,I'll Make Love To You,Boyz II Men,21,rnb,r&b / soul
1994,I'll Stand By You,Pretenders,21,rock,rock
1994,Just Kickin' It,Xscape,21,rnb,r&b / soul
1994,Stroke You Up,Changing Faces,21,rnb,r&b / soul
1994,"""Any Time, Any Place/And On And On""",Janet Jackson,20,pop,pop
1994,(I Know I Got) Skillz,Shaquille O'Neal,20,hip-hop,hip hop / rap
1994,Action,Terror Fabulous Featuring Nadine Sutherland,20,dancehall,reggae
1994,All About Soul,Billy Joel,20,classic rock,rock
1994,Always In My Heart,Tevin Campbell,20,rnb,r&b / soul
1994,And Our Feelings,Babyface,20,rnb,r&b / soul
1994,Anniversary,Tony! Toni! Tone!,20,soul,r&b / soul
1994,"Anything (From ""Above The Rim"")",SWV,20,rnb,r&b / soul
1994,Back In The Day,Ahmad,20,hip-hop,hip hop / rap
1994,Backwater,Meat Puppets,20,grunge,rock
1994,Because Of Love,Janet Jackson,20,pop,pop
1994,Booti Call,Blackstreet,20,rnb,r&b / soul
1994,Bop Gun (One Nation),Ice Cube Featuring George Clinton,20,hip-hop,hip hop / rap
1994,Born To Roll,Masta Ace Incorporated,20,hip-hop,hip hop / rap
1994,Cannonball,The Breeders,20,alternative,rock
1994,Come Inside,Intro,20,rnb,r&b / soul
1994,Cry For You,Jodeci,20,rnb,r&b / soul
1994,Don't Take The Girl,Tim McGraw,20,country,country
1994,Dreams,The Cranberries,20,rock,rock
1994,Everybody Hurts,R.E.M.,20,rock,rock
1994,Everyday,Phil Collins,20,pop,pop
1994,Feenin',Jodeci,20,rnb,r&b / soul
1994,Funkdafied,Da Brat,20,rap,hip hop / rap
1994,Gangsta Lean,DRS,20,drum and bass,hip hop / rap
1994,Getto Jam,Domino,20,eurobeat,hip hop / rap
1994,Gin And Juice,Snoop Doggy Dogg,20,rap,hip hop / rap
1994,Got Me Waiting,Heavy D & The Boyz,20,hip-hop,hip hop / rap
1994,Groove Thang,Zhane,20,rnb,r&b / soul
1994,Having A Party,Rod Stewart,20,classic rock,rock
1994,Higher Ground,UB40,20,reggae,reggae
1994,Hopelessly,Rick Astley,20,pop,pop
1994,How Do You Like It?,Keith Sweat,20,rnb,r&b / soul
1994,I Swear,John Michael Montgomery,20,country,country
1994,I'd Give Anything,Gerald Levert,20,rnb,r&b / soul
1994,I'll Be Loving You,Collage,20,progressive rock,rock
1994,"I'll Take You There (From ""Threesome"")",General Public,20,new wave,rock
1994,I'm In The Mood,CeCe Peniston,20,dance,dance / electronic
1994,Indian Outlaw,Tim McGraw,20,country,country
1994,"Indo Smoke (From ""Poetic Justice"")",Mista Grimm,20,g-funk,hip hop / rap
1994,Keep Ya Head Up,2Pac,20,rap,hip hop / rap
1994,Love Is All Around,Wet Wet Wet,20,pop,pop
1994,Love Sneakin' Up On You,Bonnie Raitt,20,blues,blues
1994,Lucky One,Amy Grant,20,pop,pop
1994,Mary Jane's Last Dance,Tom Petty And The Heartbreakers,20,classic rock,rock
1994,Mr. Vain,Culture Beat,20,eurodance,dance / electronic
1994,"Never Should've Let You Go (From ""Sister Act 2"")",Hi-Five,20,rnb,r&b / soul
1994,Nuttin' But Love,Heavy D & The Boyz,20,hip-hop,hip hop / rap
1994,Player's Ball,OutKast,20,hip-hop,hip hop / rap
1994,Prayer For The Dying,Seal,20,soul,r&b / soul
1994,Pumps And A Bump,M.C. Hammer,20,hip-hop,hip hop / rap
1994,"Regulate (From ""Above The Rim"")",Warren G & Nate Dogg,20,hip-hop,hip hop / rap
1994,Rock And Roll Dreams Come Through,Meat Loaf,20,rock,rock
1994,Sending My Love,Zhane,20,rnb,r&b / soul
1994,Slow And Easy,Zapp & Roger,20,funk,r&b / soul
1994,"Soul To Squeeze (From ""Coneheads"")",Red Hot Chili Peppers,20,rock,rock
1994,Stay,Eternal,20,rnb,r&b / soul
1994,"Streets Of Philadelphia (From ""Philadelphia"")",Bruce Springsteen,20,rock,rock
1994,Take It Easy,Mad Lion,20,reggae,reggae
1994,This D.J.,Warren G,20,g-funk,hip hop / rap
1994,"Two Steps Behind (From ""Last Action Hero"")",Def Leppard,20,hard rock,rock
1994,U.N.I.T.Y.,Queen Latifah,20,hip-hop,hip hop / rap
1994,Understanding,Xscape,20,rnb,r&b / soul
1994,What Might Have Been,Little Texas,20,country,country
1994,What's Up,DJ Miko,20,dance,dance / electronic
1994,Wild World,Mr. Big,20,hard rock,rock
1994,Willing To Forgive,Aretha Franklin,20,soul,r&b / soul
1994,You Know How We Do It,Ice Cube,20,west coast,hip hop / rap
1994,Your Body's Callin',R. Kelly,20,rnb,r&b / soul
1994,Another Night,Real McCoy,19,eurodance,dance / electronic
1994,But It's Alright,Huey Lewis & The News,19,rock,rock
1994,"Circle Of Life (From ""The Lion King"")",Elton John,19,pop,pop
1994,Far Behind,Candlebox,19,grunge,rock
1994,It's All Good,M.C. Hammer,19,hip-hop,hip hop / rap
1994,Juicy/Unbelievable,The Notorious B.I.G.,19,hip-hop,hip hop / rap
1994,Misled,Celine Dion,19,pop,pop
1994,"New Age Girl (From ""Dumb And Dumber"")",Deadeye Dick,19,rock,rock
1994,Possession,Sarah McLachlan,19,singer-songwriter,folk / acoustic
1994,Selling The Drama,Live,19,alternative rock,rock
1994,Sex Me (Parts I & II),R. Kelly,19,rnb,r&b / soul
1994,Sweet Potatoe Pie,Domino,19,eurobeat,hip hop / rap
1994,The Way She Loves Me,Richard Marx,19,pop,pop
1994,Time And Chance,Color Me Badd,19,pop,pop
1994,At Your Best (You Are Love),Aaliyah,18,rnb,r&b / soul
1994,Award Tour,A Tribe Called Quest,18,hip-hop,hip hop / rap
1994,Body & Soul,Anita Baker,18,soul,r&b / soul
1994,Fade Into You,Mazzy Star,18,lush,rock
1994,"Hey D.J. (From ""Mi Vida Loca"")",Lighter Shade Of Brown,18,old school,hip hop / rap
1994,Let Me Ride,Dr. Dre,18,hip-hop,hip hop / rap
1994,"The Place Where You Belong (From ""Beverly Hills Cop III"")",Shai,18,rnb,r&b / soul
1994,Will You Be There (In The Morning),Heart,18,classic rock,rock
1994,You,Candlebox,18,grunge,rock
1994,You Gotta Be,Des'ree,18,soul,r&b / soul
1994,Always On My Mind,SWV,17,rnb,r&b / soul
1994,Both Sides Of The Story,Phil Collins,17,pop,pop
1994,Choose,Color Me Badd,17,pop,pop
1994,Comin' On Strong,Sudden Change,17,soul,r&b / soul
1994,Endless Love,Luther Vandross & Mariah Carey,17,pop,pop
1994,Fall Down,Toad The Wet Sprocket,17,alternative,rock
1994,Funk Dat/Why Is It?,Sagat,17,techno,dance / electronic
1994,Funky Y-2-C,The Puppies,17,hip-hop,hip hop / rap
1994,Miss You In A Heartbeat,Def Leppard,17,hard rock,rock
1994,Short Dick Man,20 Fingers Featuring Gillette,17,dance,dance / electronic
1994,What's My Name?,Snoop Dogg,17,hip-hop,hip hop / rap
1994,C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,16,rap,hip hop / rap
1994,Can U Get Wit It,Usher,16,rnb,r&b / soul
1994,Get Ready For This,2 Unlimited,16,eurodance,dance / electronic
1994,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,16,reggae,reggae
1994,Life (Everybody Needs Somebody To Love),Haddaway,16,dance,dance / electronic
1994,Moving On Up,M People,16,pop,pop
1994,Nappy Heads,Fugees,16,hip-hop,hip hop / rap
1994,Real Muthaphuckkin G's,Eazy-E,16,gangsta rap,hip hop / rap
1994,Romantic Call,Patra Featuring Yo-Yo,16,dancehall,reggae
1994,Sukiyaki,4PM,16,r&b,r&b / soul
1994,The Right Kinda Lover,Patti LaBelle,16,soul,r&b / soul
1994,Thuggish Ruggish Bone,Bone Thugs-N-Harmony,16,rap,hip hop / rap
1994,U Send Me Swingin',Mint Condition,16,rnb,r&b / soul
1994,Worker Man,Patra,16,dancehall,reggae
1994,You Better Wait,Steve Perry,16,classic rock,rock
1994,"""The More You Ignore Me, The Closer I Get""",Morrissey,15,indie,rock
1994,"""What's The Frequency, Kenneth?""",R.E.M.,15,rock,rock
1994,(Lay Your Head On My) Pillow,Tony! Toni! Tone!,15,soul,r&b / soul
1994,Bizarre Love Triangle,FRENTE!,15,indie,rock
1994,Completely,Michael Bolton,15,pop,pop
1994,Girls & Boys,Blur,15,britpop,rock
