Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2014,Radioactive,Imagine Dragons,87,indie,rock
2014,Sail,AWOLNATION,79,electronic,dance / electronic
2014,Counting Stars,OneRepublic,68,pop rock,rock
2014,Demons,Imagine Dragons,61,indie,rock
2014,All Of Me,John Legend,59,rnb,r&b / soul
2014,Dark Horse,Katy Perry Featuring Juicy J,57,pop,pop
2014,Pompeii,Bastille,53,indie,rock
2014,Wake Me Up!,Avicii,53,house,dance / electronic
2014,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,48,pop,pop
2014,Happy,Pharrell Williams,47,hip-hop,hip hop / rap
2014,Royals,Lorde,44,pop,pop
2014,Let Her Go,Passenger,43,folk,folk / acoustic
2014,Safe And Sound,Capital Cities,43,poptron,rock
2014,Brave,Sara Bareilles,42,pop,pop
2014,Fancy,Iggy Azalea Featuring Charli xcx,39,rap,hip hop / rap
2014,Timber,Pitbull Featuring Ke$ha,39,pop,pop
2014,Team,Lorde,38,pop,pop
2014,Stay With Me,Sam Smith,37,soul,r&b / soul
2014,Sweater Weather,The Neighbourhood,37,indie,rock
2014,Turn Down For What,DJ Snake & Lil Jon,37,trap,hip hop / rap
2014,Best Day Of My Life,American Authors,36,pop,pop
2014,Burn,Ellie Goulding,36,pop,pop
2014,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,36,rnb,r&b / soul
2014,Roar,Katy Perry,35,pop,pop
2014,Rude,MAGIC!,35,pop,pop
2014,Animals,Martin Garrix,34,house,dance / electronic
2014,"""Hold On, We're Going Home""",Drake Featuring Majid Jordan,33,hip-hop,hip hop / rap
2014,Chandelier,Sia,33,pop,pop
2014,Latch,Disclosure Featuring Sam Smith,33,electronic,dance / electronic
2014,Let It Go,Idina Menzel,33,broadway,pop
2014,Talk Dirty,Jason Derulo Featuring 2 Chainz,33,rnb,r&b / soul
2014,Story Of My Life,One Direction,32,pop,pop
2014,Wrecking Ball,Miley Cyrus,32,pop,pop
2014,Am I Wrong,Nico & Vinz,31,pop,pop
2014,Show Me,Kid Ink Featuring Chris Brown,31,hip-hop,hip hop / rap
2014,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente De Zona,30,pop,pop
2014,Habits (Stay High),Tove Lo,30,pop,pop
2014,Trumpets,Jason Derulo,30,rnb,r&b / soul
2014,HeadBand,B.o.B Featuring 2 Chainz,29,hip-hop,hip hop / rap
2014,The Monster,Eminem Featuring Rihanna,29,rap,hip hop / rap
2014,Don't,Ed Sheeran,28,pop,pop
2014,My Hitta,YG Featuring Jeezy & Rich Homie Quan,28,hip-hop,hip hop / rap
2014,Na Na,Trey Songz,28,rnb,r&b / soul
2014,Rather Be,Clean Bandit Featuring Jess Glynne,28,electronic,dance / electronic
2014,This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan,28,country,country
2014,Classic,MKTO,27,pop,pop
2014,Holy Grail,Jay Z Featuring Justin Timberlake,27,hip-hop,hip hop / rap
2014,A Sky Full Of Stars,Coldplay,26,pop,pop
2014,Don't Tell 'Em,Jeremih Featuring YG,26,dj mustard,hip hop / rap
2014,Love More,Chris Brown Featuring Nicki Minaj,26,rnb,r&b / soul
2014,Riptide,Vance Joy,26,folk,folk / acoustic
2014,Say Something,A Great Big World & Christina Aguilera,26,indie,rock
2014,Summer,Calvin Harris,26,dance,dance / electronic
2014,Billie Jean,Michael Jackson,25,pop,pop
2014,Black Widow,Iggy Azalea Featuring Rita Ora,25,hip-hop,hip hop / rap
2014,Boom Clap,Charli xcx,25,electropop,pop
2014,Bottoms Up,Brantley Gilbert,25,country,country
2014,Gas Pedal,Sage The Gemini Featuring IamSu!,25,hip-hop,hip hop / rap
2014,Problem,Ariana Grande Featuring Iggy Azalea,25,pop,pop
2014,2 On,Tinashe Featuring ScHoolboy Q,24,rnb,r&b / soul
2014,Ain't It Fun,Paramore,24,rock,rock
2014,All About That Bass,Meghan Trainor,24,pop,pop
2014,Applause,Lady Gaga,23,pop,pop
2014,Cool Kids,Echosmith,23,indie pop,pop
2014,Hey Brother,Avicii,23,dance,dance / electronic
2014,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,23,young thug,hip hop / rap
2014,Break Free,Ariana Grande Featuring Zedd,22,pop,pop
2014,Maps,Maroon 5,22,pop,pop
2014,New Flame,Chris Brown Featuring Usher & Rick Ross,22,rnb,r&b / soul
2014,Not A Bad Thing,Justin Timberlake,22,pop,pop
2014,Stay The Night,Zedd Featuring Hayley Williams,22,electro house,dance / electronic
2014,Stolen Dance,Milky Chance,22,indie,rock
2014,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,22,hip-hop,hip hop / rap
2014,Best Song Ever,One Direction,21,pop,pop
2014,Come With Me Now,KONGOS,21,rock,rock
2014,Hot Boy,Bobby Shmurda,21,hip-hop,hip hop / rap
2014,Leave The Night On,Sam Hunt,21,country,country
2014,Partition,Beyonce,21,sexy,r&b / soul
2014,Ready Set Roll,Chase Rice,21,country,country
2014,Replay,Zendaya,21,r&b,r&b / soul
2014,That's My Kind Of Night,Luke Bryan,21,country,country
2014,Whatever She's Got,David Nail,21,country,country
2014,Wiggle,Jason Derulo Featuring Snoop Dogg,21,rnb,r&b / soul
2014,"""Where It's At (Yep, Yep)""",Dustin Lynch,20,country,country
2014,0 To 100 / The Catch Up,Drake,20,hip-hop,hip hop / rap
2014,About The Money,T.I. Featuring Young Thug,20,hip-hop,hip hop / rap
2014,All Me,Drake Featuring 2 Chainz & Big Sean,20,hip-hop,hip hop / rap
2014,American Kids,Kenny Chesney,20,country,country
2014,Amnesia,5 Seconds of Summer,20,pop,pop
2014,Anaconda,Nicki Minaj,20,rap,hip hop / rap
2014,Bartender,Lady Antebellum,20,country,country
2014,Beachin',Jake Owen,20,country,country
2014,Beat Of The Music,Brett Eldredge,20,country,country
2014,Believe Me,Lil Wayne Featuring Drake,20,hip-hop,hip hop / rap
2014,Berzerk,Eminem,20,rap,hip hop / rap
2014,Burnin' It Down,Jason Aldean,20,country,country
2014,Chillin' It,Cole Swindell,20,country,country
2014,Compass,Lady Antebellum,20,country,country
2014,Day Drinking,Little Big Town,20,country,country
2014,Dirt,Florida Georgia Line,20,country,country
2014,Do I Wanna Know?,Arctic Monkeys,20,indie rock,rock
2014,Drink A Beer,Luke Bryan,20,country,country
2014,Drink To That All Night,Jerrod Niemann,20,country,country
2014,Drunk In Love,Beyonce Featuring Jay Z,20,rnb,r&b / soul
2014,Drunk Last Night,Eli Young Band,20,country,country
2014,Drunk On A Plane,Dierks Bentley,20,country,country
2014,Fireball,Pitbull Featuring John Ryan,20,hip-hop,hip hop / rap
2014,Friday Night,Eric Paslay,20,country,country
2014,Get Me Some Of That,Thomas Rhett,20,country,country
2014,Girl In A Country Song,Maddie & Tae,20,country,country
2014,Girls Chase Boys,Ingrid Michaelson,20,singer-songwriter,folk / acoustic
2014,Give Me Back My Hometown,Eric Church,20,country,country
2014,Helluva Life,Frankie Ballard,20,country,country
2014,Hope You Get Lonely Tonight,Cole Swindell,20,country,country
2014,Human,Christina Perri,20,pop,pop
2014,I Don't Dance,Lee Brice,20,country,country
2014,I Luv This Sh*t,August Alsina Featuring Trinidad James,20,rnb,r&b / soul
2014,It Won't Stop,Sevyn Streeter Featuring Chris Brown,20,rnb,r&b / soul
2014,La La La,Naughty Boy Featuring Sam Smith,20,pop,pop
2014,Let It Go,Demi Lovato,20,pop,pop
2014,Lettin' The Night Roll,Justin Moore,20,country,country
2014,Love Never Felt So Good,Michael Jackson & Justin Timberlake,20,funk,r&b / soul
2014,Love Runs Out,OneRepublic,20,pop rock,rock
2014,Main Chick,Kid Ink Featuring Chris Brown,20,hip-hop,hip hop / rap
2014,Me And My Broken Heart,Rixton,20,love at first listen,pop
2014,Neon Lights,Demi Lovato,20,pop,pop
2014,No Flex Zone,Rae Sremmurd,20,hip-hop,hip hop / rap
2014,No Mediocre,T.I. Featuring Iggy Azalea,20,hip-hop,hip hop / rap
2014,On Top Of The World,Imagine Dragons,20,indie rock,rock
2014,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,20,hip-hop,hip hop / rap
2014,Paranoid,Ty Dolla $ign Featuring B.o.B,20,hip-hop,hip hop / rap
2014,Play It Again,Luke Bryan,20,country,country
2014,Rap God,Eminem,20,rap,hip hop / rap
2014,Rewind,Rascal Flatts,20,country,country
2014,Roller Coaster,Luke Bryan,20,country,country
2014,She Looks So Perfect,5 Seconds of Summer,20,pop punk,rock
2014,Shower,Becky G,20,pop,pop
2014,Sing,Ed Sheeran,20,acoustic,folk / acoustic
2014,Slow Down,Selena Gomez,20,pop,pop
2014,Small Town Throwdown,Brantley Gilbert Featuring Justin Moore & Thomas Rhett,20,country,country
2014,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,20,country,country
2014,Stay,Florida Georgia Line,20,country,country
2014,Studio,ScHoolboy Q Featuring BJ the Chicago Kid,20,hip-hop,hip hop / rap
2014,Sunny And 75,Joe Nichols,20,country,country
2014,Sunshine & Whiskey,Frankie Ballard,20,country,country
2014,The Language,Drake,20,hip-hop,hip hop / rap
2014,The Man,Aloe Blacc,20,soul,r&b / soul
2014,The Worst,Jhene Aiko,20,rnb,r&b / soul
2014,Trophies,Young Money Featuring Drake,20,rap,hip hop / rap
2014,Unconditionally,Katy Perry,20,pop,pop
2014,Up Down (Do This All Day),T-Pain Featuring B.o.B,20,rnb,r&b / soul
2014,V. 3005,Childish Gambino,20,hip-hop,hip hop / rap
2014,Wasting All These Tears,Cassadee Pope,20,pop rock,rock
2014,We Dem Boyz,Wiz Khalifa,20,hip-hop,hip hop / rap
2014,When She Says Baby,Jason Aldean,20,country,country
2014,Who Do You Love?,YG Featuring Drake,20,hip-hop,hip hop / rap
2014,Work,Iggy Azalea,20,hip-hop,hip hop / rap
2014,Yeah,Joe Nichols,20,country,country
