Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2002,Hanging By A Moment,Lifehouse,54,rock,rock
2002,Drops Of Jupiter (Tell Me),Train,53,rock,rock
2002,How You Remind Me,Nickelback,49,rock,rock
2002,It's Been Awhile,Staind,46,rock,rock
2002,Wherever You Will Go,The Calling,45,rock,rock
2002,Can't Fight The Moonlight,LeAnn Rimes,42,country,country
2002,A Thousand Miles,Vanessa Carlton,41,pop,pop
2002,Family Affair,Mary J. Blige,41,rnb,r&b / soul
2002,I Do!!,Toya,39,rnb,r&b / soul
2002,Blurry,Puddle of Mudd,38,rock,rock
2002,In The End,Linkin Park,38,rock,rock
2002,Gimme The Light,Sean Paul,35,dancehall,reggae
2002,Superman (It's Not Easy),Five for Fighting,35,alternative,rock
2002,Wasting My Time,Default,35,alternative rock,rock
2002,Fallin',Alicia Keys,34,soul,r&b / soul
2002,Hero,Enrique Iglesias,34,pop,pop
2002,The Middle,Jimmy Eat World,33,rock,rock
2002,Foolish,Ashanti,32,rnb,r&b / soul
2002,U Got It Bad,Usher,32,rnb,r&b / soul
2002,Complicated,Avril Lavigne,31,pop,pop
2002,I'm Real,Jennifer Lopez Featuring Ja Rule,31,pop,pop
2002,Only Time,Enya,31,new age,folk / acoustic
2002,Video,India.Arie,31,soul,r&b / soul
2002,"""Lights, Camera, Action!""",Mr. Cheeks,30,rap,hip hop / rap
2002,Differences,Ginuwine,30,rnb,r&b / soul
2002,One Last Breath,Creed,30,rock,rock
2002,My Sacrifice,Creed,29,rock,rock
2002,Soak Up The Sun,Sheryl Crow,29,rock,rock
2002,All You Wanted,Michelle Branch,28,pop,pop
2002,What's Luv?,Fat Joe Featuring Ashanti,28,hip-hop,hip hop / rap
2002,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,27,pop,pop
2002,Always On Time,Ja Rule Featuring Ashanti,27,rap,hip hop / rap
2002,Heaven,DJ Sammy & Yanou Featuring Do,27,trance,dance / electronic
2002,The Star Spangled Banner,Whitney Houston,27,pop,pop
2002,Hot In Herre,Nelly,26,hip-hop,hip hop / rap
2002,If I Could Go!,Angie Martinez Featuring Lil' Mo & Sacario,26,rnb,r&b / soul
2002,U Don't Have To Call,Usher,26,rnb,r&b / soul
2002,Dilemma,Nelly Featuring Kelly Rowland,25,rnb,r&b / soul
2002,Livin' It Up,Ja Rule Featuring Case,25,rap,hip hop / rap
2002,Rock The Boat,Aaliyah,25,rnb,r&b / soul
2002,Turn Off The Light,Nelly Furtado,25,pop,pop
2002,halfcrazy,Musiq,25,soul,r&b / soul
2002,"""Whenever, Wherever""",Shakira,24,pop,pop
2002,Caramel,City High Featuring Eve,24,rnb,r&b / soul
2002,Get The Party Started,P!nk,24,pop,pop
2002,Gone,*NSYNC,24,pop,pop
2002,More Than A Woman,Aaliyah,24,rnb,r&b / soul
2002,No Such Thing,John Mayer,24,singer-songwriter,folk / acoustic
2002,Nothin',N.O.R.E.,24,hip-hop,hip hop / rap
2002,Still Fly,Big Tymers,24,rap,hip hop / rap
2002,Happy,Ashanti,23,rnb,r&b / soul
2002,I Need A Girl (Part One),P. Diddy Featuring Usher & Loon,23,hip-hop,hip hop / rap
2002,I'm Gonna Be Alright,Jennifer Lopez Featuring Nas,23,pop,pop
2002,Move B***h,Ludacris Featuring Mystikal & Infamous 2.0,23,hip-hop,hip hop / rap
2002,Po' Folks,Nappy Roots Featuring Anthony Hamilton,23,hip-hop,hip hop / rap
2002,Baby,Ashanti,22,rnb,r&b / soul
2002,Gangsta Lovin',Eve Featuring Alicia Keys,22,hip-hop,hip hop / rap
2002,Hero,Chad Kroeger Featuring Josey Scott,22,rock,rock
2002,Uh Huh,B2K,22,rnb,r&b / soul
2002,Don't Let Me Get Me,P!nk,21,pop,pop
2002,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,21,rnb,r&b / soul
2002,Gotta Get Thru This,Daniel Bedingfield,21,pop,pop
2002,I Love You,Faith Evans,21,rnb,r&b / soul
2002,Just A Friend 2002,Mario,21,rnb,r&b / soul
2002,Oh Boy,Cam'Ron Featuring Juelz Santana,21,hip-hop,hip hop / rap
2002,Roll Out (My Business),Ludacris,21,hip-hop,hip hop / rap
2002,The Impossible,Joe Nichols,21,country,country
2002,"""Courtesy Of The Red, White And Blue (The Angry American)""",Toby Keith,20,country,country
2002,"""I Breathe In, I Breathe Out""",Chris Cagle,20,country,country
2002,#1,Nelly,20,hip-hop,hip hop / rap
2002,7 Days,Craig David,20,rnb,r&b / soul
2002,A New Day Has Come,Celine Dion,20,pop,pop
2002,A Woman's Worth,Alicia Keys,20,soul,r&b / soul
2002,AM To PM,Christina Milian,20,rnb,r&b / soul
2002,Addictive,Truth Hurts Featuring Rakim,20,rnb,r&b / soul
2002,Aerials,System of a Down,20,alternative metal,rock
2002,Alive,P.O.D.,20,nu metal,rock
2002,Anything,Jaheim Featuring Next,20,rnb,r&b / soul
