Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2003,When I'm Gone,3 Doors Down,45,rock,rock
2003,Ignition,R. Kelly,42,rnb,r&b / soul
2003,Unwell,Matchbox Twenty,42,rock,rock
2003,Gimme The Light,Sean Paul,39,dancehall,reggae
2003,Headstrong,Trapt,37,rock,rock
2003,The Game Of Love,Santana Featuring Michelle Branch,37,rock,rock
2003,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,36,rnb,r&b / soul
2003,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,36,rap,hip hop / rap
2003,Drift Away,Uncle Kracker Featuring Dobie Gray,35,rock,rock
2003,One Last Breath,Creed,34,rock,rock
2003,Picture,Kid Rock Featuring Sheryl Crow Or Allison Moorer,34,rock,rock
2003,Right Thurr,Chingy,33,hip-hop,hip hop / rap
2003,Bring Me To Life,Evanescence Featuring Paul McCoy,32,rock,rock
2003,Get Busy,Sean Paul,32,dancehall,reggae
2003,Don't Know Why,Norah Jones,31,jazz,jazz
2003,No Letting Go,Wayne Wonder,31,reggae,reggae
2003,In Da Club,50 Cent,30,hip-hop,hip hop / rap
2003,Miss You,Aaliyah,30,rnb,r&b / soul
2003,Underneath It All,No Doubt Featuring Lady Saw,30,rock,rock
2003,Calling All Angels,Train,29,rock,rock
2003,Dilemma,Nelly Featuring Kelly Rowland,29,rnb,r&b / soul
2003,Landslide,Dixie Chicks,29,country,country
2003,Your Body Is A Wonderland,John Mayer,29,singer-songwriter,folk / acoustic
2003,The Remedy (I Won't Worry),Jason Mraz,28,acoustic,folk / acoustic
2003,Beautiful,Christina Aguilera,27,pop,pop
2003,Crazy In Love,Beyonce Featuring Jay Z,27,rnb,r&b / soul
2003,I'm With You,Avril Lavigne,27,pop,pop
2003,Love Of My Life (An Ode To Hip Hop),Erykah Badu Featuring Common,27,soul,r&b / soul
2003,Cry,Faith Hill,26,country,country
2003,Into You,Fabolous Featuring Tamia Or Ashanti,26,hip-hop,hip hop / rap
2003,dontchange,Musiq,26,soul,r&b / soul
2003,How You Gonna Act Like That,Tyrese,25,rnb,r&b / soul
2003,P.I.M.P.,50 Cent,25,hip-hop,hip hop / rap
2003,Where Is The Love?,The Black Eyed Peas,25,hip-hop,hip hop / rap
2003,Work It,"Missy ""Misdemeanor"" Elliott",25,hip-hop,hip hop / rap
2003,I Know What You Want,Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,24,rnb,r&b / soul
2003,Magic Stick,Lil' Kim Featuring 50 Cent,24,hip-hop,hip hop / rap
2003,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,24,rock,rock
2003,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,23,hip-hop,hip hop / rap
2003,21 Questions,50 Cent Featuring Nate Dogg,23,hip-hop,hip hop / rap
2003,Can't Let You Go,Fabolous Featuring Mike Shorey & Lil' Mo,23,hip-hop,hip hop / rap
2003,Forever And For Always,Shania Twain,23,country,country
2003,Frontin',Pharrell Featuring Jay-Z,23,hip-hop,hip hop / rap
2003,Lose Yourself,Eminem,23,rap,hip hop / rap
2003,She Hates Me,Puddle of Mudd,23,rock,rock
2003,So Far Away,Staind,23,rock,rock
2003,Clocks,Coldplay,22,rock,rock
2003,Damn!,YoungBloodZ Featuring Lil Jon,22,rap,hip hop / rap
2003,Luv U Better,LL Cool J,22,hip-hop,hip hop / rap
2003,My Front Porch Looking In,Lonestar,22,country,country
2003,Rock Your Body,Justin Timberlake,22,pop,pop
2003,So Gone,Monica,22,rnb,r&b / soul
2003,All I Have,Jennifer Lopez Featuring LL Cool J,21,pop,pop
2003,Baby Boy,Beyonce Featuring Sean Paul,21,rnb,r&b / soul
2003,Rock Wit U (Awww Baby),Ashanti,21,rnb,r&b / soul
2003,When The Last Time,Clipse,21,hip-hop,hip hop / rap
2003,"""Can't Stop, Won't Stop""",Young Gunz,20,hip-hop,hip hop / rap
2003,"""Never Leave You - Uh Ooh, Uh Oooh!""",Lumidee,20,rnb,r&b / soul
2003,"""No Shoes, No Shirt, No Problems""",Kenny Chesney,20,country,country
2003,19 Somethin',Mark Wills,20,country,country
2003,4 Ever,Lil' Mo Featuring Fabolous,20,rnb,r&b / soul
2003,A Moment Like This,Kelly Clarkson,20,pop,pop
2003,All My Life,Foo Fighters,20,rock,rock
2003,All The Things She Said,t.A.T.u.,20,pop,pop
2003,Always,Saliva,20,hard rock,rock
2003,Amazing,Josh Kelley,20,singer-songwriter,folk / acoustic
2003,Angel,Amanda Perez,20,rnb,r&b / soul
2003,Are You Happy Now?,Michelle Branch,20,pop,pop
2003,Beautiful,Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,20,hip-hop,hip hop / rap
2003,Big Star,Kenny Chesney,20,country,country
2003,Big Yellow Taxi,Counting Crows Featuring Vanessa Carlton,20,rock,rock
2003,Bother,Stone Sour,20,hard rock,rock
2003,Breathe,Blu Cantrell Featuring Sean Paul,20,rnb,r&b / soul
2003,Brokenheartsville,Joe Nichols,20,country,country
2003,Can't Hold Us Down,Christina Aguilera Featuring Lil' Kim,20,pop,pop
2003,Can't Stop,Red Hot Chili Peppers,20,rock,rock
2003,Can't Stop Loving You,Phil Collins,20,pop,pop
2003,Celebrity,Brad Paisley,20,country,country
2003,Come Over,Aaliyah,20,rnb,r&b / soul
2003,Cry Me A River,Justin Timberlake,20,pop,pop
2003,Dance With My Father,Luther Vandross,20,soul,r&b / soul
2003,Dirrty,Christina Aguilera Featuring Redman,20,pop,pop
2003,Disease,Matchbox Twenty,20,rock,rock
2003,Do That...,Baby Featuring P. Diddy,20,hip-hop,hip hop / rap
2003,Don't Wanna Try,Frankie J,20,rnb,r&b / soul
2003,Fabulous,Jaheim Featuring Tha Rayne,20,rnb,r&b / soul
2003,Faint,Linkin Park,20,nu metal,rock
2003,Fall Into Me,Emerson Drive,20,country,country
2003,Family Portrait,P!nk,20,pop,pop
2003,Fighter,Christina Aguilera,20,pop,pop
2003,Fine Again,Seether,20,alternative rock,rock
2003,Goodbye To You,Michelle Branch,20,pop,pop
2003,Gossip Folks,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",20,hip-hop,hip hop / rap
2003,Harder To Breathe,Maroon 5,20,rock,rock
2003,Have You Forgotten?,Darryl Worley,20,country,country
2003,Hell Yeah,Ginuwine Featuring Baby,20,rnb,r&b / soul
2003,Help Pour Out The Rain (Lacey's Song),Buddy Jewell,20,country,country
2003,I Believe,Diamond Rio,20,country,country
2003,I Can,Nas,20,hip-hop,hip hop / rap
2003,I Care 4 U,Aaliyah,20,rnb,r&b / soul
2003,I Just Wanna Be Mad,Terri Clark,20,country,country
2003,I Melt,Rascal Flatts,20,country,country
2003,I Wish I Wasn't,Heather Headley,20,soul,r&b / soul
2003,I'd Rather,Luther Vandross,20,soul,r&b / soul
