Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2005,Breakaway,Kelly Clarkson,46,pop,pop
2005,Since U Been Gone,Kelly Clarkson,46,pop,pop
2005,You And Me,Lifehouse,46,alternative,rock
2005,She Will Be Loved,Maroon 5,41,pop,pop
2005,"""1, 2 Step""",Ciara Featuring Missy Elliott,39,rnb,r&b / soul
2005,Beverly Hills,Weezer,38,alternative rock,rock
2005,Goodies,Ciara Featuring Petey Pablo,38,rnb,r&b / soul
2005,Mr. Brightside,The Killers,38,rock,rock
2005,Scars,Papa Roach,38,rock,rock
2005,We Belong Together,Mariah Carey,38,mariah carey,r&b / soul
2005,Boulevard Of Broken Dreams,Green Day,36,rock,rock
2005,Let Me Love You,Mario,36,rnb,r&b / soul
2005,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,35,pop,pop
2005,Behind These Hazel Eyes,Kelly Clarkson,34,pop,pop
2005,Lonely No More,Rob Thomas,34,pop,pop
2005,Collide,Howie Day,32,singer-songwriter,folk / acoustic
2005,Feel Good Inc,Gorillaz,32,alternative,rock
2005,Holiday,Green Day,32,punk rock,rock
2005,Hollaback Girl,Gwen Stefani,31,pop,pop
2005,La Tortura,Shakira Feat. Alejandro Sanz,31,pop,pop
2005,Lean Back,Terror Squad,31,hip-hop,hip hop / rap
2005,Let Me Go,3 Doors Down,31,alternative rock,rock
2005,Drop It Like It's Hot,Snoop Dogg Featuring Pharrell,30,hip-hop,hip hop / rap
2005,Disco Inferno,50 Cent,29,rap,hip hop / rap
2005,Karma,Alicia Keys,29,soul,r&b / soul
2005,One Thing,Finger Eleven,29,alternative rock,rock
2005,How We Do,The Game Featuring 50 Cent,28,rap,hip hop / rap
2005,I Don't Want To Be,Gavin DeGraw,28,singer-songwriter,folk / acoustic
2005,Lose Control,Missy Elliott Featuring Ciara & Fat Man Scoop,28,hip-hop,hip hop / rap
2005,Switch,Will Smith,28,hip-hop,hip hop / rap
2005,"""Sugar, We're Goin' Down""",Fall Out Boy,27,pop punk,rock
2005,Caught Up,Usher,27,rnb,r&b / soul
2005,Just A Lil Bit,50 Cent,27,50 cent,hip hop / rap
2005,Listen To Your Heart,D.H.T.,27,dance,dance / electronic
2005,On The Way Down,Ryan Cabrera,27,pop,pop
2005,Pon de Replay,Rihanna,27,dance,dance / electronic
2005,Rich Girl,Gwen Stefani Featuring Eve,27,pop,pop
2005,Don't Phunk With My Heart,The Black Eyed Peas,26,hip-hop,hip hop / rap
2005,My Boo,Usher And Alicia Keys,26,rnb,r&b / soul
2005,Baby I'm Back,Baby Bash Featuring Akon,25,hip-hop,hip hop / rap
2005,My Happy Ending,Avril Lavigne,25,pop rock,rock
2005,Some Cut,Trillville Featuring Cutty,25,crunk,hip hop / rap
2005,Cater 2 U,Destiny's Child,24,rnb,r&b / soul
2005,Let Me Hold You,Bow Wow Featuring Omarion,24,hip-hop,hip hop / rap
2005,Over And Over,Nelly Featuring Tim McGraw,24,hip-hop,hip hop / rap
2005,Candy Shop,50 Cent Featuring Olivia,23,rap,hip hop / rap
2005,Cold,Crossfade,23,rock,rock
2005,Daughters,John Mayer,23,singer-songwriter,folk / acoustic
2005,Gold Digger,Kanye West Featuring Jamie Foxx,23,hip-hop,hip hop / rap
2005,Hate It Or Love It,The Game Featuring 50 Cent,23,hip-hop,hip hop / rap
2005,Live Like You Were Dying,Tim McGraw,23,country,country
2005,Lose My Breath,Destiny's Child,23,rnb,r&b / soul
2005,Oh,Ciara Featuring Ludacris,23,rnb,r&b / soul
2005,Shake It Off,Mariah Carey,23,pop,pop
2005,Charlene,Anthony Hamilton,22,soul,r&b / soul
2005,Grind With Me,Pretty Ricky,22,rnb,r&b / soul
2005,Let's Go,Trick Daddy Featuring Lil Jon & Twista,22,hip-hop,hip hop / rap
2005,Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,22,crunk,hip hop / rap
2005,Slow Down,Bobby Valentino,22,rnb,r&b / soul
2005,Wait (The Whisper Song),Ying Yang Twins,22,hip-hop,hip hop / rap
2005,Wake Me Up When September Ends,Green Day,22,rock,rock
2005,Best Of You,Foo Fighters,21,rock,rock
2005,Bring Em Out,T.I.,21,hip-hop,hip hop / rap
2005,Broken,Seether Featuring Amy Lee,21,alternative rock,rock
2005,Dirty Little Secret,The All-American Rejects,21,rock,rock
2005,Like You,Bow Wow Featuring Ciara,21,hip-hop,hip hop / rap
2005,Obsession (No Es Amor),Frankie J Featuring Baby Bash,21,rnb,r&b / soul
2005,Okay,Nivea Featuring Lil Jon & YoungBloodZ,21,rnb,r&b / soul
2005,Soldier,Destiny's Child Featuring T.I. & Lil Wayne,21,rnb,r&b / soul
