Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2004,Unwell,Matchbox Twenty,54,rock,rock
2004,Here Without You,3 Doors Down,51,rock,rock
2004,Someday,Nickelback,50,rock,rock
2004,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,45,rap,hip hop / rap
2004,Yeah!,Usher Featuring Lil Jon & Ludacris,45,rnb,r&b / soul
2004,Headstrong,Trapt,43,rock,rock
2004,This Love,Maroon 5,43,pop,pop
2004,White Flag,Dido,41,pop,pop
2004,If I Ain't Got You,Alicia Keys,40,soul,r&b / soul
2004,Freek-A-Leek,Petey Pablo,39,hip-hop,hip hop / rap
2004,The Way You Move,OutKast Featuring Sleepy Brown,39,hip-hop,hip hop / rap
2004,The Reason,Hoobastank,38,rock,rock
2004,The First Cut Is The Deepest,Sheryl Crow,36,rock,rock
2004,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,35,rock,rock
2004,Suga Suga,Baby Bash Featuring Frankie J,33,rnb,r&b / soul
2004,Damn!,YoungBloodZ Featuring Lil Jon,32,rap,hip hop / rap
2004,Hey Ya!,OutKast,32,hip-hop,hip hop / rap
2004,My Immortal,Evanescence,32,rock,rock
2004,Numb,Linkin Park,32,rock,rock
2004,Burn,Usher,30,rnb,r&b / soul
2004,Dip It Low,Christina Milian,30,rnb,r&b / soul
2004,Heaven,Los Lonely Boys,30,rock,rock
2004,I Don't Wanna Know,Mario Winans Featuring Enya & P. Diddy,30,rnb,r&b / soul
2004,Tipsy,J-Kwon,30,hip-hop,hip hop / rap
2004,Baby Boy,Beyonce Featuring Sean Paul,29,rnb,r&b / soul
2004,Leave (Get Out),JoJo,29,pop,pop
2004,Diary,Alicia Keys Featuring Tony! Toni! Tone!,28,soul,r&b / soul
2004,Goodies,Ciara Featuring Petey Pablo,28,rnb,r&b / soul
2004,It's My Life,No Doubt,28,pop,pop
2004,Lean Back,Terror Squad,28,hip-hop,hip hop / rap
2004,Meant To Live,Switchfoot,28,alternative rock,rock
