Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2013,Radioactive,Imagine Dragons,68,indie,rock
2013,Sail,AWOLNATION,67,electronic,dance / electronic
2013,Ho Hey,The Lumineers,62,indie,rock
2013,Somebody That I Used To Know,Gotye Featuring Kimbra,59,indie,rock
2013,Lights,Ellie Goulding,57,pop,pop
2013,Some Nights,fun.,56,indie,rock
2013,Cruise,Florida Georgia Line Featuring Nelly,54,country,country
2013,Call Me Maybe,Carly Rae Jepsen,50,pop,pop
2013,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,49,hip-hop,hip hop / rap
2013,Little Talks,Of Monsters and Men,48,indie,rock
2013,It's Time,Imagine Dragons,47,indie,rock
2013,Wanted,Hunter Hayes,46,country,country
2013,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,44,pop,pop
2013,Too Close,Alex Clare,44,dubstep,dance / electronic
2013,Mirrors,Justin Timberlake,42,pop,pop
2013,One More Night,Maroon 5,42,pop,pop
2013,Home,Phillip Phillips,40,folk,folk / acoustic
2013,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,39,hip-hop,hip hop / rap
2013,I Will Wait,Mumford & Sons,39,folk,folk / acoustic
2013,I Knew You Were Trouble.,Taylor Swift,36,pop,pop
2013,Just Give Me A Reason,P!nk Featuring Nate Ruess,36,pop,pop
2013,Locked Out Of Heaven,Bruno Mars,36,pop,pop
2013,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,35,pop,pop
2013,When I Was Your Man,Bruno Mars,35,pop,pop
2013,Demons,Imagine Dragons,34,indie,rock
2013,Adorn,Miguel,33,rnb,r&b / soul
2013,Clarity,Zedd Featuring Foxes,33,electronic,dance / electronic
2013,Don't You Worry Child,Swedish House Mafia Featuring John Martin,33,house,dance / electronic
2013,Safe And Sound,Capital Cities,33,poptron,rock
2013,The A Team,Ed Sheeran,33,acoustic,folk / acoustic
2013,Only Time,Enya,32,new age,folk / acoustic
2013,Stay,Rihanna Featuring Mikky Ekko,32,pop,pop
2013,Gangnam Style,PSY,31,k-pop,pop
2013,"""Gone, Gone, Gone""",Phillip Phillips,30,folk,folk / acoustic
2013,Girl On Fire,Alicia Keys Featuring Nicki Minaj,30,pop,pop
2013,Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,30,hip-hop,hip hop / rap
2013,As Long As You Love Me,Justin Bieber Featuring Big Sean,29,pop,pop
2013,Get Lucky,Daft Punk Featuring Pharrell Williams,29,electronic,dance / electronic
2013,I Love It,Icona Pop Featuring Charli xcx,29,poptron,dance / electronic
2013,Madness,Muse,29,rock,rock
2013,Power Trip,J. Cole Featuring Miguel,29,hip-hop,hip hop / rap
2013,Swimming Pools (Drank),Kendrick Lamar,29,hip-hop,hip hop / rap
2013,Don't Wake Me Up,Chris Brown,28,rnb,r&b / soul
2013,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,28,rnb,r&b / soul
2013,Thinkin Bout You,Frank Ocean,28,rnb,r&b / soul
2013,Blow Me (One Last Kiss),P!nk,27,pop,pop
2013,Brave,Sara Bareilles,27,pop,pop
2013,HeadBand,B.o.B Featuring 2 Chainz,27,hip-hop,hip hop / rap
2013,Sweater Weather,The Neighbourhood,27,indie,rock
2013,Sweet Nothing,Calvin Harris Featuring Florence Welch,27,electronic,dance / electronic
2013,Bad,Wale Featuring Tiara Thomas Or Rihanna,26,hip-hop,hip hop / rap
2013,Counting Stars,OneRepublic,26,pop rock,rock
2013,Diamonds,Rihanna,26,pop,pop
2013,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,26,rock,rock
2013,Suit & Tie,Justin Timberlake Featuring JAY Z,26,pop,pop
2013,The Way,Ariana Grande Featuring Mac Miller,26,pop,pop
2013,Wagon Wheel,Darius Rucker,26,country,country
2013,We Can't Stop,Miley Cyrus,26,pop,pop
2013,Daylight,Maroon 5,25,pop rock,rock
2013,Hall Of Fame,The Script Featuring will.i.am,25,pop rock,rock
2013,I Need Your Love,Calvin Harris Featuring Ellie Goulding,25,electronic,dance / electronic
2013,Wake Me Up!,Avicii,25,house,dance / electronic
2013,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,24,pop,pop
2013,Catch My Breath,Kelly Clarkson,24,pop,pop
2013,Feel This Moment,Pitbull Featuring Christina Aguilera,24,hip-hop,hip hop / rap
2013,Poetic Justice,Kendrick Lamar Featuring Drake,24,hip-hop,hip hop / rap
2013,Royals,Lorde,24,pop,pop
2013,Scream & Shout,will.i.am & Britney Spears,24,pop,pop
2013,Try,P!nk,24,pop,pop
2013,We Are Never Ever Getting Back Together,Taylor Swift,24,pop,pop
2013,Holy Grail,Jay Z Featuring Justin Timberlake,23,hip-hop,hip hop / rap
2013,Summertime Sadness,Lana Del Rey vs. Cedric Gervais,23,house,dance / electronic
2013,Treasure,Bruno Mars,23,pop,pop
2013,Come & Get It,Selena Gomez,22,pop,pop
2013,Die Young,Ke$ha,22,pop,pop
2013,It Goes Like This,Thomas Rhett,22,country,country
2013,Livin' On A Prayer,Bon Jovi,22,rock,rock
2013,Love Me,Lil Wayne Featuring Drake & Future,22,hip-hop,hip hop / rap
2013,No Worries,Lil Wayne Featuring Detail,22,hip-hop,hip hop / rap
2013,Red,Taylor Swift,22,country,country
2013,Started From The Bottom,Drake,22,rap,hip hop / rap
2013,Take A Walk,Passion Pit,22,electronic,dance / electronic
2013,"""Bitch, Don't Kill My Vibe""",Kendrick Lamar,21,hip-hop,hip hop / rap
2013,Boys 'Round Here,Blake Shelton Featuring Pistol Annies & Friends,21,country,country
2013,Crash My Party,Luke Bryan,21,country,country
2013,Gas Pedal,Sage The Gemini Featuring IamSu!,21,hip-hop,hip hop / rap
2013,Hey Girl,Billy Currington,21,country,country
2013,I Cry,Flo Rida,21,hip-hop,hip hop / rap
2013,Love More,Chris Brown Featuring Nicki Minaj,21,rnb,r&b / soul
2013,Love Somebody,Maroon 5,21,pop rock,rock
2013,The Other Side,Jason Derulo,21,rnb,r&b / soul
2013,Young And Beautiful,Lana Del Rey,21,cult,rock
2013,22,Taylor Swift,20,pop,pop
2013,Alive,Krewella,20,dubstep,dance / electronic
2013,All Gold Everything,Trinidad James,20,hip-hop,hip hop / rap
2013,All Over The Road,Easton Corbin,20,country,country
2013,Anything Could Happen,Ellie Goulding,20,electronic,dance / electronic
2013,Anywhere With You,Jake Owen,20,country,country
2013,Aw Naw,Chris Young,20,country,country
2013,Ball,T.I. Featuring Lil Wayne,20,hip-hop,hip hop / rap
2013,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,20,hip-hop,hip hop / rap
2013,Battle Scars,Lupe Fiasco & Guy Sebastian,20,rap,hip hop / rap
2013,Beat This Summer,Brad Paisley,20,country,country
2013,Beer Money,Kip Moore,20,country,country
2013,Begin Again,Taylor Swift,20,country,country
2013,Better Dig Two,The Band Perry,20,country,country
2013,Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,20,hip-hop,hip hop / rap
2013,Birthday Song,2 Chainz Featuring Kanye West,20,hip-hop,hip hop / rap
2013,Body Party,Ciara,20,rnb,r&b / soul
2013,Bugatti,Ace Hood Featuring Future & Rick Ross,20,rap,hip hop / rap
2013,Carry On,fun.,20,indie pop,rock
2013,Creepin',Eric Church,20,country,country
2013,Crooked Smile,J. Cole Featuring TLC,20,hip-hop,hip hop / rap
2013,DONE.,The Band Perry,20,country,country
2013,Don't Judge Me,Chris Brown,20,rnb,r&b / soul
2013,Don't Stop The Party,Pitbull Featuring TJR,20,hip-hop,hip hop / rap
2013,Don't Ya,Brett Eldredge,20,country,country
2013,Downtown,Lady Antebellum,20,country,country
2013,Every Storm (Runs Out Of Rain),Gary Allan,20,country,country
2013,Everything Has Changed,Taylor Swift Featuring Ed Sheeran,20,country,country
2013,Feel Again,OneRepublic,20,pop rock,rock
2013,Get Your Shine On,Florida Georgia Line,20,country,country
2013,Give It All We Got Tonight,George Strait,20,country,country
2013,Goodbye In Her Eyes,Zac Brown Band,20,country,country
2013,Harlem Shake,Baauer,20,trap,hip hop / rap
2013,Heart Attack,Demi Lovato,20,pop,pop
2013,Hey Pretty Girl,Kip Moore,20,country,country
2013,Highway Don't Care,Tim McGraw With Taylor Swift,20,country,country
2013,How Country Feels,Randy Houser,20,country,country
2013,How Many Drinks?,Miguel,20,rnb,r&b / soul
2013,I Drive Your Truck,Lee Brice,20,country,country
2013,I Want Crazy,Hunter Hayes,20,country,country
2013,I'm Different,2 Chainz,20,hip-hop,hip hop / rap
2013,If I Didn't Have You,Thompson Square,20,country,country
2013,Kiss Tomorrow Goodbye,Luke Bryan,20,country,country
2013,Let Her Go,Passenger,20,folk,folk / acoustic
2013,Little Bit Of Everything,Keith Urban,20,country,country
2013,Love And War,Tamar Braxton,20,rnb,r&b / soul
2013,Loveeeeeee Song,Rihanna Featuring Future,20,future,pop
2013,Mama's Broken Heart,Miranda Lambert,20,country,country
2013,Mine Would Be You,Blake Shelton,20,country,country
2013,Neva End,Future,20,hip-hop,hip hop / rap
