Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
2019,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,53,rnb,r&b / soul
2019,Better Now,Post Malone,52,rap,hip hop / rap
2019,Girls Like You,Maroon 5 Featuring Cardi B,52,pop rock,rock
2019,Happier,Marshmello & Bastille,52,edm,dance / electronic
2019,High Hopes,Panic! At The Disco,52,alternative,rock
2019,Sicko Mode,Travis Scott,52,trap,hip hop / rap
2019,Without Me,Halsey,52,pop,pop
2019,Love Lies,Khalid & Normani,51,rnb,r&b / soul
2019,Better,Khalid,48,pop,pop
2019,Lucid Dreams,Juice WRLD,48,emo rap,hip hop / rap
2019,Youngblood,5 Seconds of Summer,48,pop rock,rock
2019,Dancing With A Stranger,Sam Smith & Normani,45,pop,pop
2019,Shallow,Lady Gaga & Bradley Cooper,45,pop,pop
2019,Wow.,Post Malone,44,rap,hip hop / rap
2019,Talk,Khalid,43,soul,r&b / soul
2019,You Say,Lauren Daigle,43,pop,pop
2019,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,42,hip-hop,hip hop / rap
2019,Bad Guy,Billie Eilish,38,electropop,pop
2019,Sucker,Jonas Brothers,38,pop,pop
2019,Going Bad,Meek Mill Featuring Drake,37,hip-hop,hip hop / rap
2019,All I Want For Christmas Is You,Mariah Carey,36,pop,pop
2019,Drip Too Hard,Lil Baby & Gunna,35,rap,hip hop / rap
2019,Suge,DaBaby,35,rap,hip hop / rap
2019,Sweet But Psycho,Ava Max,35,pop,pop
2019,7 Rings,Ariana Grande,33,trap,hip hop / rap
2019,Close Friends,Lil Baby,33,rap,hip hop / rap
2019,Truth Hurts,Lizzo,33,pop,pop
2019,Someone You Loved,Lewis Capaldi,32,pop,pop
2019,When The Party's Over,Billie Eilish,32,pop,pop
2019,Beautiful Crazy,Luke Combs,31,country,country
2019,Look Back At It,A Boogie wit da Hoodie,31,trap,hip hop / rap
2019,Rockin' Around The Christmas Tree,Brenda Lee,31,country,country
2019,I Don't Care,Ed Sheeran & Justin Bieber,30,uk,pop
2019,Be Alright,Dean Lewis,29,pop,pop
2019,Jingle Bell Rock,Bobby Helms,29,country,country
2019,Ran$om,Lil Tecca,29,rap,hip hop / rap
2019,Trampoline,SHAED,29,pop,pop
2019,"""Thank U, Next""",Ariana Grande,28,pop,pop
2019,Mo Bamba,Sheck Wes,28,trap,hip hop / rap
2019,No Guidance,Chris Brown Featuring Drake,28,rnb,r&b / soul
2019,Beautiful,Bazzi Featuring Camila Cabello,27,pop,pop
2019,Envy Me,Calboy,27,hip-hop,hip hop / rap
2019,MIA,Bad Bunny Featuring Drake,27,drake,pop
2019,Middle Child,J. Cole,27,rap,hip hop / rap
2019,Natural,Imagine Dragons,27,rock,rock
2019,Only Human,Jonas Brothers,27,pop,pop
2019,Pop Out,Polo G Featuring Lil Tjay,27,rap,hip hop / rap
2019,Trip,Ella Mai,27,rnb,r&b / soul
2019,Whiskey Glasses,Morgan Wallen,27,country pop,country
2019,Money,Cardi B,26,trap rap,hip hop / rap
2019,Panini,Lil Nas X,26,hip-hop,hip hop / rap
2019,Senorita,Shawn Mendes & Camila Cabello,26,pop,pop
2019,Talk You Out Of It,Florida Georgia Line,26,country,country
2019,Breathin,Ariana Grande,25,pop,pop
2019,Leave Me Alone,Flipp Dinero,25,rap,hip hop / rap
2019,Pure Water,Mustard & Migos,25,rap,hip hop / rap
2019,Worth It,YK Osiris,25,rap,hip hop / rap
2019,ZEZE,Kodak Black Featuring Travis Scott & Offset,25,trap,hip hop / rap
2019,Beautiful People,Ed Sheeran Featuring Khalid,24,acoustic,folk / acoustic
2019,A Lot,21 Savage,23,trap,hip hop / rap
2019,God's Country,Blake Shelton,23,country,country
2019,If I Can't Have You,Shawn Mendes,23,pop,pop
2019,Money In The Grave,Drake Featuring Rick Ross,23,hip-hop,hip hop / rap
2019,One Thing Right,Marshmello & Kane Brown,23,country,country
2019,She Got The Best Of Me,Luke Combs,23,country,country
2019,"""Hey Look Ma, I Made It""",Panic! At The Disco,22,alternative,rock
2019,Knockin' Boots,Luke Bryan,22,country,country
2019,Act Up,City Girls,21,rap,hip hop / rap
2019,Beer Never Broke My Heart,Luke Combs,21,country,country
2019,Drunk Me,Mitchell Tenpenny,21,country,country
2019,GIRL,Maren Morris,21,country,country
2019,Goodbyes,Post Malone Featuring Young Thug,21,hip-hop,hip hop / rap
2019,You Need To Calm Down,Taylor Swift,21,pop,pop
2019,"""Break Up With Your Girlfriend, I'm Bored""",Ariana Grande,20,pop,pop
2019,Backin' It Up,Pardison Fontaine Featuring Cardi B,20,rap,hip hop / rap
2019,Best Shot,Jimmie Allen,20,country,country
2019,Bury A Friend,Billie Eilish,20,electropop,pop
2019,Cash Shit,Megan Thee Stallion Featuring DaBaby,20,rap,hip hop / rap
2019,Clout,Offset Featuring Cardi B,20,trap,hip hop / rap
2019,Dangerous,Meek Mill Featuring Jeremih & PnB Rock,20,hip-hop,hip hop / rap
2019,Eyes On You,Chase Rice,20,country,country
2019,Good As You,Kane Brown,20,country,country
2019,Here Tonight,Brett Young,20,country,country
2019,How Do You Sleep?,Sam Smith,20,soul,r&b / soul
2019,I Don't Know About You,Chris Lane,20,country,country
2019,Look What God Gave Her,Thomas Rhett,20,country,country
2019,ME!,Taylor Swift Featuring Brendon Urie,20,country,country
2019,Make It Sweet,Old Dominion,20,country,country
2019,Miss Me More,Kelsea Ballerini,20,country,country
2019,Murder On My Mind,YNW Melly,20,horrorcore,hip hop / rap
2019,My Type,Saweetie,20,hip-hop,hip hop / rap
2019,No Stylist,French Montana Featuring Drake,20,hip-hop,hip hop / rap
2019,Ocean Eyes,Billie Eilish,20,pop,pop
2019,Please Me,Cardi B & Bruno Mars,20,rap,hip hop / rap
2019,Prayed For You,Matt Stell,20,southern rock,rock
2019,Put A Date On It,Yo Gotti Featuring Lil Baby,20,rap,hip hop / rap
2019,Rumor,Lee Brice,20,country,country
2019,Shotta Flow,NLE Choppa,20,trap,hip hop / rap
2019,Swervin,A Boogie wit da Hoodie Featuring 6ix9ine,20,hip-hop,hip hop / rap
2019,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",20,jazz,jazz
2019,The Git Up,Blanco Brown,20,country,country
2019,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,20,electronic,dance / electronic
2019,This Is It,Scotty McCreery,20,country,country
2019,Thotiana,Blueface,20,rap,hip hop / rap
2019,Time,NF,20,hip-hop,hip hop / rap
2019,Tip Of My Tongue,Kenny Chesney,20,country,country
2019,Uproar,Lil Wayne,20,hip-hop,hip hop / rap
2019,Walk Me Home,P!nk,20,pop,pop
2019,24-Jul,Meek Mill Featuring Ella Mai,19,hip-hop,hip hop / rap
2019,Baby Sitter,DaBaby Featuring Offset,19,rap,hip hop / rap
2019,Blue Tacoma,Russell Dickerson,19,country,country
2019,Girl Like You,Jason Aldean,19,country,country
2019,On Chill,Wale Featuring Jeremih,19,hip-hop,hip hop / rap
2019,Robbery,Juice WRLD,19,emo rap,pop
2019,Thriller,Michael Jackson,19,pop,pop
2019,Hot,Young Thug Featuring Gunna,18,hip-hop,hip hop / rap
2019,Love Ain't,Eli Young Band,18,country,country
2019,Lover,Taylor Swift,18,pop,pop
2019,Mixed Personalities,YNW Melly Featuring Kanye West,18,trap,hip hop / rap
2019,Rearview Town,Jason Aldean,18,country,country
2019,Yosemite,Travis Scott,18,trap,hip hop / rap
2019,Armed And Dangerous,Juice WRLD,17,trap,hip hop / rap
2019,Burning Man,Dierks Bentley Featuring Brothers Osborne,17,country,country
2019,Calling My Spirit,Kodak Black,17,trap,hip hop / rap
2019,Cool,Jonas Brothers,17,pop,pop
2019,Good As Hell,Lizzo,17,pop,pop
2019,Millionaire,Chris Stapleton,17,country,country
2019,One Man Band,Old Dominion,17,country,country
2019,What If I Never Get Over You,Lady Antebellum,17,country,country
2019,Before I Let Go,Beyonce,16,rnb,r&b / soul
2019,Circles,Post Malone,16,pop,pop
2019,Easier,5 Seconds of Summer,16,charlie puth,pop
2019,Even Though I'm Leaving,Luke Combs,16,country,country
2019,Heat,Chris Brown Featuring Gunna,16,rnb,r&b / soul
2019,Here With Me,Marshmello Featuring Chvrches,16,dance,dance / electronic
2019,Living,Dierks Bentley,16,country,country
2019,Night Shift,Jon Pardi,16,country,country
2019,On My Way To You,Cody Johnson,16,country,country
2019,Playing Games,Summer Walker,16,rnb,r&b / soul
2019,Press,Cardi B,16,hip-hop,hip hop / rap
2019,Pure Cocaine,Lil Baby,16,rap,hip hop / rap
2019,Sanguine Paradise,Lil Uzi Vert,16,trap,hip hop / rap
2019,Shot Clock,Ella Mai,16,rnb,r&b / soul
2019,The Ones That Didn't Make It Back Home,Justin Moore,16,country,country
2019,Who Do You Love,The Chainsmokers Featuring 5 Seconds of Summer,16,electronic,dance / electronic
2019,Enemies,Post Malone Featuring DaBaby,15,hip-hop,hip hop / rap
2019,Good Girl,Dustin Lynch,15,country,country
2019,It's You,Ali Gatie,15,rnb,r&b / soul
2019,Sixteen,Thomas Rhett,15,country,country
2019,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,15,hip-hop,hip hop / rap
2019,We Were,Keith Urban,15,country,country
2019,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,15,jazz,jazz
2019,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,15,hip-hop,hip hop / rap
2019,A Holly Jolly Christmas,Burl Ives,14,folk,folk / acoustic
2019,Camelot,NLE Choppa,14,southern hip hop,hip hop / rap
2019,F.N,Lil Tjay,14,pop rap,pop
2019,Graveyard,Halsey,14,pop,pop
2019,Hot Girl Bummer,Blackbear,14,rnb,r&b / soul
2019,It's The Most Wonderful Time Of The Year,Andy Williams,14,pop,pop
2019,Love You Too Late,Cole Swindell,14,country,country
2019,Lucky You,Eminem Featuring Joyner Lucas,14,rap,hip hop / rap
2019,Remember You Young,Thomas Rhett,14,country,country
2019,Down To The Honkytonk,Jake Owen,13,country,country
2019,Fine China,Future & Juice WRLD,13,future,hip hop / rap
2019,Good Vibes,Chris Janson,13,country,country
2019,Just Us,DJ Khaled Featuring SZA,13,hip-hop,hip hop / rap
