Year,Song,Artist,Weeks in Charts,lastfm_top_tag,broad_genre
1985,I'm So Excited,The Pointer Sisters,40,disco,dance / electronic
1985,Missing You,Diana Ross,27,soul,r&b / soul
1985,Caribbean Queen (No More Love On The Run),Billy Ocean,26,pop,pop
1985,I Feel For You,Chaka Khan,26,soul,r&b / soul
1985,I Just Called To Say I Love You,Stevie Wonder,26,soul,r&b / soul
1985,Cherish,Kool & The Gang,25,funk,r&b / soul
1985,Cool It Now,New Edition,25,rnb,r&b / soul
1985,Hard Habit To Break,Chicago,25,classic rock,rock
1985,Jungle Love,The Time,25,funk,r&b / soul
1985,Strut,Sheena Easton,25,pop,pop
1985,Take On Me,a-ha,25,pop,pop
1985,Everybody Wants To Rule The World,Tears for Fears,24,new wave,rock
1985,Lover Girl,Teena Marie,24,soul,r&b / soul
1985,Misled,Kool & The Gang,24,funk,r&b / soul
1985,Obsession,Animotion,24,new wave,rock
1985,Solid,Ashford & Simpson,24,soul,r&b / soul
1985,The Heat Is On,Glenn Frey,24,classic rock,rock
1985,Wake Me Up Before You Go-Go,Wham!,24,pop,pop
1985,Easy Lover,Philip Bailey With Phil Collins,23,1984,r&b / soul
1985,Everytime You Go Away,Paul Young,23,pop,pop
1985,I Can't Hold Back,Survivor,23,classic rock,rock
1985,Neutron Dance,The Pointer Sisters,23,disco,dance / electronic
1985,Out Of Touch,Daryl Hall  John Oates,23,pop,pop
1985,Relax,Frankie Goes To Hollywood,23,new wave,rock
1985,Things Can Only Get Better,Howard Jones,23,new wave,rock
1985,All I Need,Jack Wagner,22,pop,pop
1985,Desert Moon,Dennis DeYoung,22,classic rock,rock
1985,Don't You (Forget About Me),Simple Minds,22,new wave,rock
1985,Forever,Kenny Loggins,22,rock,rock
1985,In My House,Mary Jane Girls,22,funk,r&b / soul
1985,Money For Nothing,Dire Straits,22,rock,rock
1985,Nightshift,Commodores,22,soul,r&b / soul
1985,Rhythm Of The Night,Debarge,22,soul,r&b / soul
1985,St. Elmo's Fire (Man In Motion),John Parr,22,rock,rock
1985,Suddenly,Billy Ocean,22,pop,pop
1985,The Boys Of Summer,Don Henley,22,classic rock,rock
1985,You're The Inspiration,Chicago,22,classic rock,rock
1985,Better Be Good To Me,Tina Turner,21,pop,pop
1985,Careless Whisper,Wham! Featuring George Michael,21,pop,pop
1985,Crazy For You,Madonna,21,pop,pop
1985,I Want To Know What Love Is,Foreigner,21,classic rock,rock
1985,I Wonder If I Take You Home,Lisa Lisa And Cult Jam With Full Force,21,pop,pop
1985,Lover Boy,Billy Ocean,21,pop,pop
1985,New Attitude,Patti LaBelle,21,soul,r&b / soul
1985,Oh Sheila,Ready For The World,21,rnb,r&b / soul
1985,The Search Is Over,Survivor,21,classic rock,rock
1985,Voices Carry,'Til Tuesday,21,new wave,rock
1985,Walking On Sunshine,Katrina And The Waves,21,pop,pop
1985,What About Love?,Heart,21,classic rock,rock
1985,You Give Good Love,Whitney Houston,21,pop,pop
1985,And We Danced,Hooters,20,rock,rock
